section,category,metric,type,date,value,publish_date,ObjectId
State Data,Cumulative counts to date,Total Vaccine Providers,,,401,01/12/2021,43
State Metrics,Vaccinations,Immunized Yesterday,Moderna,,5269,01/12/2021,44
State Metrics,Vaccinations,Immunized Yesterday,Moderna Change from Yesterday,,4389,01/12/2021,45
State Metrics,Vaccinations,Immunized Yesterday,Pfizer,,5666,01/12/2021,46
State Metrics,Vaccinations,Immunized Yesterday,Pfizer Change from Yesterday,,2882,01/12/2021,47
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine,,0,01/12/2021,48
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine Change from Yesterday,,0,01/12/2021,49
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Moderna,,0,01/12/2021,50
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine Change from Yesterday,,-1,01/16/2021,51
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Moderna,,0,01/16/2021,52
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Pfizer,,0,01/16/2021,53
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Unspecified COVID Vaccine,,0,01/16/2021,54
State Data,Cumulative counts to date,Cumulative Doses Administered,All COVID Vaccines,,323037,01/17/2021,55
State Data,Cumulative counts to date,People Immunized with One Dose,,,273340,01/17/2021,56
State Data,Cumulative counts to date,People Immunized with Two Doses,,,49595,01/17/2021,57
State Data,Cumulative counts to date,Total Vaccine Providers,,,469,01/17/2021,58
State Metrics,Vaccinations,Immunized Yesterday,Moderna,,4407,01/17/2021,59
State Metrics,Vaccinations,Immunized Yesterday,Moderna Change from Yesterday,,-4022,01/17/2021,60
State Metrics,Vaccinations,Immunized Yesterday,Pfizer,,3478,01/17/2021,61
State Metrics,Vaccinations,Immunized Yesterday,Pfizer Change from Yesterday,,-2447,01/17/2021,62
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine,,0,01/17/2021,63
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine Change from Yesterday,,0,01/17/2021,64
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Moderna,,1,01/17/2021,65
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Pfizer,,0,01/17/2021,66
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Unspecified COVID Vaccine,,0,01/17/2021,67
State Data,Cumulative counts to date,Cumulative Doses Administered,All COVID Vaccines,,328533,01/18/2021,68
State Data,Cumulative counts to date,People Immunized with One Dose,,,278686,01/18/2021,69
State Data,Cumulative counts to date,People Immunized with Two Doses,,,49744,01/18/2021,70
State Data,Cumulative counts to date,Total Vaccine Providers,,,473,01/18/2021,71
State Metrics,Vaccinations,Immunized Yesterday,Moderna,,1371,01/18/2021,72
State Metrics,Vaccinations,Immunized Yesterday,Moderna Change from Yesterday,,-3633,01/18/2021,73
State Metrics,Vaccinations,Immunized Yesterday,Pfizer,,870,01/18/2021,74
State Metrics,Vaccinations,Immunized Yesterday,Pfizer Change from Yesterday,,-2608,01/18/2021,75
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine,,0,01/18/2021,76
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine Change from Yesterday,,0,01/18/2021,77
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Moderna,,0,01/18/2021,78
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Pfizer,,0,01/18/2021,79
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Unspecified COVID Vaccine,,0,01/18/2021,80
State Data,Cumulative counts to date,Cumulative Doses Administered,All COVID Vaccines,,338584,01/19/2021,81
State Data,Cumulative counts to date,People Immunized with One Dose,,,287179,01/19/2021,82
State Data,Cumulative counts to date,People Immunized with Two Doses,,,51299,01/19/2021,83
State Data,Cumulative counts to date,Total Vaccine Providers,,,474,01/19/2021,84
State Metrics,Vaccinations,Immunized Yesterday,Moderna,,3381,01/19/2021,85
State Metrics,Vaccinations,Immunized Yesterday,Moderna Change from Yesterday,,1455,01/19/2021,86
State Metrics,Vaccinations,Immunized Yesterday,Pfizer,,2654,01/19/2021,87
State Metrics,Vaccinations,Immunized Yesterday,Pfizer Change from Yesterday,,1552,01/19/2021,88
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine,,0,01/19/2021,89
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine Change from Yesterday,,0,01/19/2021,90
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Moderna,,0,01/19/2021,91
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Pfizer,,0,01/19/2021,92
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Unspecified COVID Vaccine,,0,01/19/2021,93
State Data,Cumulative counts to date,Cumulative Doses Administered,All COVID Vaccines,,352984,01/20/2021,94
State Data,Cumulative counts to date,People Immunized with One Dose,,,298314,01/20/2021,95
State Data,Cumulative counts to date,People Immunized with Two Doses,,,54541,01/20/2021,96
State Data,Cumulative counts to date,Total Vaccine Providers,,,481,01/20/2021,97
State Metrics,Vaccinations,Immunized Yesterday,Moderna,,3848,01/20/2021,98
State Metrics,Vaccinations,Immunized Yesterday,Moderna Change from Yesterday,,-497,01/20/2021,99
State Metrics,Vaccinations,Immunized Yesterday,Pfizer,,4774,01/20/2021,100
State Data,Cumulative counts to date,People Immunized with One Dose,,,464805,02/01/2021,101
State Data,Cumulative counts to date,People Immunized with Two Doses,,,132344,02/01/2021,102
State Data,Cumulative counts to date,Total Vaccine Providers,,,649,02/01/2021,103
State Metrics,Vaccinations,Immunized Yesterday,Moderna,,944,02/01/2021,104
State Metrics,Vaccinations,Immunized Yesterday,Moderna Change from Yesterday,,-3834,02/01/2021,105
State Metrics,Vaccinations,Immunized Yesterday,Pfizer,,6198,02/01/2021,106
State Metrics,Vaccinations,Immunized Yesterday,Pfizer Change from Yesterday,,-4362,02/01/2021,107
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine,,0,02/01/2021,108
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine Change from Yesterday,,-10,02/01/2021,109
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Moderna,,4,02/01/2021,110
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Pfizer,,0,02/01/2021,111
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Unspecified COVID Vaccine,,0,02/01/2021,112
State Data,Cumulative counts to date,Cumulative Doses Administered,All COVID Vaccines,,613294,02/02/2021,113
State Data,Cumulative counts to date,People Immunized with One Dose,,,472655,02/02/2021,114
State Data,Cumulative counts to date,People Immunized with Two Doses,,,140189,02/02/2021,115
State Data,Cumulative counts to date,Total Vaccine Providers,,,652,02/02/2021,116
State Metrics,Vaccinations,Immunized Yesterday,Moderna,,5500,02/02/2021,117
State Metrics,Vaccinations,Immunized Yesterday,Moderna Change from Yesterday,,3883,02/02/2021,118
State Metrics,Vaccinations,Immunized Yesterday,Pfizer,,5035,02/02/2021,119
State Metrics,Vaccinations,Immunized Yesterday,Pfizer Change from Yesterday,,-2056,02/02/2021,120
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine,,0,02/02/2021,121
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine Change from Yesterday,,0,02/02/2021,122
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Moderna,,0,02/02/2021,123
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Pfizer,,0,02/02/2021,124
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Unspecified COVID Vaccine,,0,02/02/2021,125
State Data,Cumulative counts to date,Cumulative Doses Administered,All COVID Vaccines,,635017,02/03/2021,126
State Data,Cumulative counts to date,People Immunized with One Dose,,,485139,02/03/2021,127
State Data,Cumulative counts to date,People Immunized with Two Doses,,,149389,02/03/2021,128
State Data,Cumulative counts to date,Total Vaccine Providers,,,665,02/03/2021,129
State Metrics,Vaccinations,Immunized Yesterday,Moderna,,7263,02/03/2021,130
State Metrics,Vaccinations,Immunized Yesterday,Moderna Change from Yesterday,,310,02/03/2021,131
State Metrics,Vaccinations,Immunized Yesterday,Pfizer,,6276,02/03/2021,132
State Metrics,Vaccinations,Immunized Yesterday,Pfizer Change from Yesterday,,-347,02/03/2021,133
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine,,4,02/03/2021,134
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine Change from Yesterday,,4,02/03/2021,135
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Moderna,,0,02/03/2021,136
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Pfizer,,0,02/03/2021,137
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Unspecified COVID Vaccine,,0,02/03/2021,138
State Data,Cumulative counts to date,Cumulative Doses Administered,All COVID Vaccines,,657725,02/04/2021,139
State Data,Cumulative counts to date,People Immunized with One Dose,,,495151,02/04/2021,140
State Data,Cumulative counts to date,People Immunized with Two Doses,,,162060,02/04/2021,141
State Data,Cumulative counts to date,Total Vaccine Providers,,,669,02/04/2021,142
State Metrics,Vaccinations,Immunized Yesterday,Moderna,,8979,02/04/2021,143
State Metrics,Vaccinations,Immunized Yesterday,Moderna Change from Yesterday,,-289,02/04/2021,144
State Metrics,Vaccinations,Immunized Yesterday,Pfizer,,6824,02/04/2021,145
State Metrics,Vaccinations,Immunized Yesterday,Pfizer Change from Yesterday,,107,02/04/2021,146
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine,,5,02/04/2021,147
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine Change from Yesterday,,-1,02/04/2021,148
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Moderna,,0,02/04/2021,149
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Pfizer,,0,02/04/2021,150
State Metrics,Vaccinations,Immunized Yesterday,Moderna Change from Yesterday,,-6830,01/24/2021,151
State Metrics,Vaccinations,Immunized Yesterday,Pfizer,,2957,01/24/2021,152
State Metrics,Vaccinations,Immunized Yesterday,Pfizer Change from Yesterday,,-7320,01/24/2021,153
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine,,0,01/24/2021,154
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine Change from Yesterday,,-3,01/24/2021,155
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Moderna,,0,01/24/2021,156
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Pfizer,,0,01/24/2021,157
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Unspecified COVID Vaccine,,0,01/24/2021,158
State Data,Cumulative counts to date,Cumulative Doses Administered,All COVID Vaccines,,455081,01/25/2021,159
State Data,Cumulative counts to date,People Immunized with One Dose,,,372200,01/25/2021,160
State Data,Cumulative counts to date,People Immunized with Two Doses,,,82659,01/25/2021,161
State Data,Cumulative counts to date,Total Vaccine Providers,,,588,01/25/2021,162
State Metrics,Vaccinations,Immunized Yesterday,Moderna,,1619,01/25/2021,163
State Metrics,Vaccinations,Immunized Yesterday,Moderna Change from Yesterday,,-4619,01/25/2021,164
State Metrics,Vaccinations,Immunized Yesterday,Pfizer,,2440,01/25/2021,165
State Metrics,Vaccinations,Immunized Yesterday,Pfizer Change from Yesterday,,-1534,01/25/2021,166
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine,,0,01/25/2021,167
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine Change from Yesterday,,0,01/25/2021,168
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Moderna,,0,01/25/2021,169
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Pfizer,,0,01/25/2021,170
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Unspecified COVID Vaccine,,0,01/25/2021,171
State Data,Cumulative counts to date,Cumulative Doses Administered,All COVID Vaccines,,471528,01/26/2021,172
State Data,Cumulative counts to date,People Immunized with One Dose,,,381402,01/26/2021,173
State Data,Cumulative counts to date,People Immunized with Two Doses,,,89881,01/26/2021,174
State Data,Cumulative counts to date,Total Vaccine Providers,,,603,01/26/2021,175
State Metrics,Vaccinations,Immunized Yesterday,Moderna,,8980,01/26/2021,176
State Metrics,Vaccinations,Immunized Yesterday,Moderna Change from Yesterday,,6060,01/26/2021,177
State Metrics,Vaccinations,Immunized Yesterday,Pfizer,,1591,01/26/2021,178
State Metrics,Vaccinations,Immunized Yesterday,Pfizer Change from Yesterday,,-1096,01/26/2021,179
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine,,0,01/26/2021,180
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine Change from Yesterday,,0,01/26/2021,181
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Moderna,,0,01/26/2021,182
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Pfizer,,0,01/26/2021,183
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Unspecified COVID Vaccine,,0,01/26/2021,184
State Data,Cumulative counts to date,Cumulative Doses Administered,All COVID Vaccines,,492188,01/27/2021,185
State Data,Cumulative counts to date,People Immunized with One Dose,,,393626,01/27/2021,186
State Data,Cumulative counts to date,People Immunized with Two Doses,,,98301,01/27/2021,187
State Data,Cumulative counts to date,Total Vaccine Providers,,,619,01/27/2021,188
State Metrics,Vaccinations,Immunized Yesterday,Moderna,,9298,01/27/2021,189
State Metrics,Vaccinations,Immunized Yesterday,Moderna Change from Yesterday,,-2956,01/27/2021,190
State Metrics,Vaccinations,Immunized Yesterday,Pfizer,,1892,01/27/2021,191
State Metrics,Vaccinations,Immunized Yesterday,Pfizer Change from Yesterday,,-529,01/27/2021,192
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine,,1,01/27/2021,193
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine Change from Yesterday,,-1,01/27/2021,194
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Moderna,,0,01/27/2021,195
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Pfizer,,0,01/27/2021,196
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Unspecified COVID Vaccine,,0,01/27/2021,197
State Data,Cumulative counts to date,Cumulative Doses Administered,All COVID Vaccines,,519551,01/28/2021,198
State Data,Cumulative counts to date,People Immunized with One Dose,,,410050,01/28/2021,199
State Data,Cumulative counts to date,People Immunized with Two Doses,,,109208,01/28/2021,200
State Data,Cumulative counts to date,Total Vaccine Providers,,,631,01/28/2021,201
State Metrics,Vaccinations,Immunized Yesterday,Moderna,,10725,01/28/2021,202
State Metrics,Vaccinations,Immunized Yesterday,Moderna Change from Yesterday,,-1905,01/28/2021,203
State Metrics,Vaccinations,Immunized Yesterday,Pfizer,,4155,01/28/2021,204
State Metrics,Vaccinations,Immunized Yesterday,Pfizer Change from Yesterday,,-860,01/28/2021,205
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine,,0,01/28/2021,206
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine Change from Yesterday,,-1,01/28/2021,207
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Moderna,,0,01/28/2021,208
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Pfizer,,1271,01/28/2021,209
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Unspecified COVID Vaccine,,0,01/28/2021,210
State Data,Cumulative counts to date,Cumulative Doses Administered,All COVID Vaccines,,542764,01/29/2021,211
State Data,Cumulative counts to date,People Immunized with One Dose,,,424036,01/29/2021,212
State Data,Cumulative counts to date,People Immunized with Two Doses,,,118397,01/29/2021,213
State Data,Cumulative counts to date,Total Vaccine Providers,,,637,01/29/2021,214
State Metrics,Vaccinations,Immunized Yesterday,Moderna,,9114,01/29/2021,215
State Metrics,Vaccinations,Immunized Yesterday,Moderna Change from Yesterday,,-4892,01/29/2021,216
State Metrics,Vaccinations,Immunized Yesterday,Pfizer,,3548,01/29/2021,217
State Metrics,Vaccinations,Immunized Yesterday,Pfizer Change from Yesterday,,-4654,01/29/2021,218
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine,,3,01/29/2021,219
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine Change from Yesterday,,3,01/29/2021,220
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Moderna,,0,01/29/2021,221
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Pfizer,,1097,01/29/2021,222
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Unspecified COVID Vaccine,,0,01/29/2021,223
State Data,Cumulative counts to date,Cumulative Doses Administered,All COVID Vaccines,,565489,01/30/2021,224
State Data,Cumulative counts to date,People Immunized with One Dose,,,440445,01/30/2021,225
State Data,Cumulative counts to date,People Immunized with Two Doses,,,124686,01/30/2021,226
State Data,Cumulative counts to date,Total Vaccine Providers,,,641,01/30/2021,227
State Metrics,Vaccinations,Immunized Yesterday,Moderna,,5641,01/30/2021,228
State Metrics,Vaccinations,Immunized Yesterday,Moderna Change from Yesterday,,-6961,01/30/2021,229
State Metrics,Vaccinations,Immunized Yesterday,Pfizer,,8639,01/30/2021,230
State Metrics,Vaccinations,Immunized Yesterday,Pfizer Change from Yesterday,,1901,01/30/2021,231
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine,,0,01/30/2021,232
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine Change from Yesterday,,-4,01/30/2021,233
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Moderna,,0,01/30/2021,234
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Pfizer,,6,01/30/2021,235
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Unspecified COVID Vaccine,,0,01/30/2021,236
State Data,Cumulative counts to date,Cumulative Doses Administered,All COVID Vaccines,,586025,01/31/2021,237
State Data,Cumulative counts to date,People Immunized with One Dose,,,455285,01/31/2021,238
State Data,Cumulative counts to date,People Immunized with Two Doses,,,130330,01/31/2021,239
State Data,Cumulative counts to date,Total Vaccine Providers,,,646,01/31/2021,240
State Metrics,Vaccinations,Immunized Yesterday,Moderna,,3780,01/31/2021,241
State Metrics,Vaccinations,Immunized Yesterday,Moderna Change from Yesterday,,-4576,01/31/2021,242
State Metrics,Vaccinations,Immunized Yesterday,Pfizer,,8569,01/31/2021,243
State Metrics,Vaccinations,Immunized Yesterday,Pfizer Change from Yesterday,,-3497,01/31/2021,244
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine,,10,01/31/2021,245
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine Change from Yesterday,,10,01/31/2021,246
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Moderna,,0,01/31/2021,247
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Pfizer,,0,01/31/2021,248
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Unspecified COVID Vaccine,,0,01/31/2021,249
State Data,Cumulative counts to date,Cumulative Doses Administered,All COVID Vaccines,,597571,02/01/2021,250
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Pfizer,,227,01/12/2021,251
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Unspecified COVID Vaccine,,0,01/12/2021,252
State Data,Cumulative counts to date,Cumulative Doses Administered,All COVID Vaccines,,253422,01/13/2021,253
State Data,Cumulative counts to date,People Immunized with One Dose,,,209377,01/13/2021,254
State Data,Cumulative counts to date,People Immunized with Two Doses,,,43974,01/13/2021,255
State Data,Cumulative counts to date,Total Vaccine Providers,,,414,01/13/2021,256
State Metrics,Vaccinations,Immunized Yesterday,Moderna,,5116,01/13/2021,257
State Metrics,Vaccinations,Immunized Yesterday,Moderna Change from Yesterday,,-1125,01/13/2021,258
State Metrics,Vaccinations,Immunized Yesterday,Pfizer,,4858,01/13/2021,259
State Metrics,Vaccinations,Immunized Yesterday,Pfizer Change from Yesterday,,-1683,01/13/2021,260
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine,,0,01/13/2021,261
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine Change from Yesterday,,-1,01/13/2021,262
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Moderna,,4,01/13/2021,263
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Pfizer,,1,01/13/2021,264
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Unspecified COVID Vaccine,,0,01/13/2021,265
State Data,Cumulative counts to date,Cumulative Doses Administered,All COVID Vaccines,,270800,01/14/2021,266
State Data,Cumulative counts to date,People Immunized with One Dose,,,223827,01/14/2021,267
State Data,Cumulative counts to date,People Immunized with Two Doses,,,46897,01/14/2021,268
State Data,Cumulative counts to date,Total Vaccine Providers,,,431,01/14/2021,269
State Metrics,Vaccinations,Immunized Yesterday,Moderna,,5229,01/14/2021,270
State Metrics,Vaccinations,Immunized Yesterday,Moderna Change from Yesterday,,-1196,01/14/2021,271
State Metrics,Vaccinations,Immunized Yesterday,Pfizer,,6078,01/14/2021,272
State Metrics,Vaccinations,Immunized Yesterday,Pfizer Change from Yesterday,,122,01/14/2021,273
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine,,0,01/14/2021,274
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine Change from Yesterday,,0,01/14/2021,275
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Moderna,,0,01/14/2021,276
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Pfizer,,0,01/14/2021,277
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Unspecified COVID Vaccine,,0,01/14/2021,278
State Data,Cumulative counts to date,Cumulative Doses Administered,All COVID Vaccines,,287714,01/15/2021,279
State Data,Cumulative counts to date,People Immunized with One Dose,,,239615,01/15/2021,280
State Data,Cumulative counts to date,People Immunized with Two Doses,,,48008,01/15/2021,281
State Data,Cumulative counts to date,Total Vaccine Providers,,,444,01/15/2021,282
State Metrics,Vaccinations,Immunized Yesterday,Moderna,,4813,01/15/2021,283
State Metrics,Vaccinations,Immunized Yesterday,Moderna Change from Yesterday,,-3332,01/15/2021,284
State Metrics,Vaccinations,Immunized Yesterday,Pfizer,,5750,01/15/2021,285
State Metrics,Vaccinations,Immunized Yesterday,Pfizer Change from Yesterday,,-1357,01/15/2021,286
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine,,0,01/15/2021,287
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine Change from Yesterday,,-3,01/15/2021,288
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Moderna,,58,01/15/2021,289
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Pfizer,,0,01/15/2021,290
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Unspecified COVID Vaccine,,0,01/15/2021,291
State Data,Cumulative counts to date,Cumulative Doses Administered,All COVID Vaccines,,308441,01/16/2021,292
State Data,Cumulative counts to date,People Immunized with One Dose,,,259362,01/16/2021,293
State Data,Cumulative counts to date,People Immunized with Two Doses,,,48979,01/16/2021,294
State Data,Cumulative counts to date,Total Vaccine Providers,,,459,01/16/2021,295
State Metrics,Vaccinations,Immunized Yesterday,Moderna,,6952,01/16/2021,296
State Metrics,Vaccinations,Immunized Yesterday,Moderna Change from Yesterday,,-680,01/16/2021,297
State Metrics,Vaccinations,Immunized Yesterday,Pfizer,,5183,01/16/2021,298
State Metrics,Vaccinations,Immunized Yesterday,Pfizer Change from Yesterday,,-1771,01/16/2021,299
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine,,0,01/16/2021,300
State Metrics,Vaccinations,Immunized Yesterday,Pfizer Change from Yesterday,,421,01/20/2021,301
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine,,0,01/20/2021,302
