Data as of,Start Date,End Date,Group,Year,Month,MMWR Week,Week Ending Date,State,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
01/19/2021,09/13/2020,09/19/2020,By Week,2020,,38,09/19/2020,United States,4135,58802,114,4679,2001,5,6818,
01/19/2021,09/20/2020,09/26/2020,By Week,2020,,39,09/26/2020,United States,4136,59415,115,4821,2048,4,6912,
01/19/2021,09/27/2020,10/03/2020,By Week,2020,,40,10/03/2020,United States,4040,58113,111,4658,1943,8,6763,
01/19/2021,10/04/2020,10/10/2020,By Week,2020,,41,10/10/2020,United States,4568,59544,114,4935,2239,13,7274,
01/19/2021,10/11/2020,10/17/2020,By Week,2020,,42,10/17/2020,United States,4901,57950,109,4958,2325,17,7544,
01/19/2021,10/18/2020,10/24/2020,By Week,2020,,43,10/24/2020,United States,5652,59383,111,5365,2597,16,8429,
01/19/2021,10/25/2020,10/31/2020,By Week,2020,,44,10/31/2020,United States,6560,60397,112,5786,3050,20,9311,
01/19/2021,01/01/2020,01/31/2020,By Month,2020,1,,,Arizona,0,5845,101,377,0,40,417,
01/19/2021,11/01/2020,11/07/2020,By Week,2020,,45,11/07/2020,United States,8198,63991,118,6679,3837,21,11053,
01/19/2021,11/08/2020,11/14/2020,By Week,2020,,46,11/14/2020,United States,10003,65181,119,7586,4736,19,12865,
01/19/2021,11/15/2020,11/21/2020,By Week,2020,,47,11/21/2020,United States,12542,67177,122,8862,5960,28,15462,
01/19/2021,11/22/2020,11/28/2020,By Week,2020,,48,11/28/2020,United States,14394,67991,123,9712,6978,22,17138,
01/19/2021,11/29/2020,12/05/2020,By Week,2020,,49,12/05/2020,United States,16598,70520,125,10881,7989,31,19509,
01/19/2021,12/06/2020,12/12/2020,By Week,2020,,50,12/12/2020,United States,17031,71213,124,11016,8208,24,19852,
01/19/2021,12/13/2020,12/19/2020,By Week,2020,,51,12/19/2020,United States,14226,63536,110,9534,6951,22,16821,
01/19/2021,12/20/2020,12/26/2020,By Week,2020,,52,12/26/2020,United States,7156,48356,82,5594,3532,14,9227,
01/19/2021,12/27/2020,01/02/2021,By Week,,,53,01/02/2021,United States,5004,40434,69,4297,2572,8,6734,
01/19/2021,01/03/2021,01/09/2021,By Week,2021,,1,01/09/2021,United States,3766,28822,47,3198,1934,5,5034,
01/19/2021,01/10/2021,01/16/2021,By Week,2021,,2,01/16/2021,United States,786,7726,12,717,364,1,1140,
01/19/2021,12/29/2019,01/04/2020,By Week,,,1,01/04/2020,Alabama,0,1081,94,63,0,,69,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,01/05/2020,01/11/2020,By Week,2020,,2,01/11/2020,Alabama,0,1127,96,79,0,10,89,
01/19/2021,01/12/2020,01/18/2020,By Week,2020,,3,01/18/2020,Alabama,0,1039,91,62,0,,65,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,01/19/2020,01/25/2020,By Week,2020,,4,01/25/2020,Alabama,0,1055,94,62,0,,69,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,01/26/2020,02/01/2020,By Week,2020,,5,02/01/2020,Alabama,0,1026,94,56,0,14,70,
01/19/2021,02/02/2020,02/08/2020,By Week,2020,,6,02/08/2020,Alabama,0,1119,101,61,0,10,71,
01/19/2021,02/09/2020,02/15/2020,By Week,2020,,7,02/15/2020,Alabama,0,1094,101,76,0,,82,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,02/16/2020,02/22/2020,By Week,2020,,8,02/22/2020,Alabama,0,1097,101,68,0,,73,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,02/23/2020,02/29/2020,By Week,2020,,9,02/29/2020,Alabama,0,1162,112,63,0,14,77,
01/19/2021,03/01/2020,03/07/2020,By Week,2020,,10,03/07/2020,Alabama,0,1053,101,58,0,13,71,
01/19/2021,03/08/2020,03/14/2020,By Week,2020,,11,03/14/2020,Alabama,0,1091,101,61,0,,68,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,03/15/2020,03/21/2020,By Week,2020,,12,03/21/2020,Alabama,,1058,103,71,,,79,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,03/22/2020,03/28/2020,By Week,2020,,13,03/28/2020,Alabama,23,1072,105,68,,,92,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,03/29/2020,04/04/2020,By Week,2020,,14,04/04/2020,Alabama,49,1156,112,65,11,,106,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,04/05/2020,04/11/2020,By Week,2020,,15,04/11/2020,Alabama,81,1134,111,85,27,,143,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,04/12/2020,04/18/2020,By Week,2020,,16,04/18/2020,Alabama,89,1144,116,94,26,0,157,
01/19/2021,04/19/2020,04/25/2020,By Week,2020,,17,04/25/2020,Alabama,83,1137,113,77,19,,142,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,04/26/2020,05/02/2020,By Week,2020,,18,05/02/2020,Alabama,81,1147,116,87,26,,143,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,05/03/2020,05/09/2020,By Week,2020,,19,05/09/2020,Alabama,116,1168,116,94,34,,176,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,05/10/2020,05/16/2020,By Week,2020,,20,05/16/2020,Alabama,94,1147,115,89,30,,154,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,05/17/2020,05/23/2020,By Week,2020,,21,05/23/2020,Alabama,79,1151,117,82,23,0,138,
01/19/2021,05/24/2020,05/30/2020,By Week,2020,,22,05/30/2020,Alabama,103,1106,113,95,30,,169,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,05/31/2020,06/06/2020,By Week,2020,,23,06/06/2020,Alabama,90,1169,116,86,32,,145,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,06/07/2020,06/13/2020,By Week,2020,,24,06/13/2020,Alabama,81,1134,120,76,29,0,128,
01/19/2021,06/14/2020,06/20/2020,By Week,2020,,25,06/20/2020,Alabama,88,1087,111,79,25,0,142,
01/19/2021,06/21/2020,06/27/2020,By Week,2020,,26,06/27/2020,Alabama,102,1148,123,83,30,0,155,
01/19/2021,06/28/2020,07/04/2020,By Week,2020,,27,07/04/2020,Alabama,121,1196,121,94,48,,167,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,07/05/2020,07/11/2020,By Week,2020,,28,07/11/2020,Alabama,134,1257,127,95,36,0,193,
01/19/2021,07/12/2020,07/18/2020,By Week,2020,,29,07/18/2020,Alabama,191,1288,134,102,45,0,248,
01/19/2021,07/19/2020,07/25/2020,By Week,2020,,30,07/25/2020,Alabama,247,1326,142,134,87,0,294,
01/19/2021,07/26/2020,08/01/2020,By Week,2020,,31,08/01/2020,Alabama,261,1359,141,157,94,,325,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,08/02/2020,08/08/2020,By Week,2020,,32,08/08/2020,Alabama,261,1368,141,133,86,,309,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,08/09/2020,08/15/2020,By Week,2020,,33,08/15/2020,Alabama,229,1299,137,140,83,0,286,
01/19/2021,08/16/2020,08/22/2020,By Week,2020,,34,08/22/2020,Alabama,207,1293,139,118,64,0,261,
01/19/2021,08/23/2020,08/29/2020,By Week,2020,,35,08/29/2020,Alabama,183,1213,127,130,71,0,242,
01/19/2021,08/30/2020,09/05/2020,By Week,2020,,36,09/05/2020,Alabama,153,1206,124,110,58,0,205,
01/19/2021,09/06/2020,09/12/2020,By Week,2020,,37,09/12/2020,Alabama,137,1230,128,110,50,0,197,
01/19/2021,09/13/2020,09/19/2020,By Week,2020,,38,09/19/2020,Alabama,137,1187,124,98,46,0,189,
01/19/2021,09/20/2020,09/26/2020,By Week,2020,,39,09/26/2020,Alabama,104,1178,119,78,30,0,152,
01/19/2021,09/27/2020,10/03/2020,By Week,2020,,40,10/03/2020,Alabama,107,1092,115,90,36,0,161,
01/19/2021,10/04/2020,10/10/2020,By Week,2020,,41,10/10/2020,Alabama,133,1186,125,103,50,,187,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,10/11/2020,10/17/2020,By Week,2020,,42,10/17/2020,Alabama,125,1174,120,87,41,0,171,
01/19/2021,10/18/2020,10/24/2020,By Week,2020,,43,10/24/2020,Alabama,116,1128,116,101,35,,183,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,10/25/2020,10/31/2020,By Week,2020,,44,10/31/2020,Alabama,129,1144,120,103,46,0,186,
01/19/2021,11/01/2020,11/07/2020,By Week,2020,,45,11/07/2020,Alabama,146,1239,124,101,49,0,198,
01/19/2021,11/08/2020,11/14/2020,By Week,2020,,46,11/14/2020,Alabama,169,1235,119,115,60,,224,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,11/15/2020,11/21/2020,By Week,2020,,47,11/21/2020,Alabama,155,1224,120,94,42,,207,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,11/22/2020,11/28/2020,By Week,2020,,48,11/28/2020,Alabama,190,1252,119,104,55,0,239,
01/19/2021,11/29/2020,12/05/2020,By Week,2020,,49,12/05/2020,Alabama,221,1237,116,120,66,0,275,
01/19/2021,12/06/2020,12/12/2020,By Week,2020,,50,12/12/2020,Alabama,305,1410,130,172,110,,367,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,12/13/2020,12/19/2020,By Week,2020,,51,12/19/2020,Alabama,246,1196,109,139,83,,302,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,12/20/2020,12/26/2020,By Week,2020,,52,12/26/2020,Alabama,136,956,90,80,37,,180,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,12/27/2020,01/02/2021,By Week,,,53,01/02/2021,Alabama,132,915,86,74,30,,177,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,01/03/2021,01/09/2021,By Week,2021,,1,01/09/2021,Alabama,86,577,50,57,30,0,113,
01/19/2021,01/10/2021,01/16/2021,By Week,2021,,2,01/16/2021,Alabama,26,130,11,17,12,0,31,
01/19/2021,12/29/2019,01/04/2020,By Week,,,1,01/04/2020,Alaska,0,89,99,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,01/05/2020,01/11/2020,By Week,2020,,2,01/11/2020,Alaska,0,105,115,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,01/12/2020,01/18/2020,By Week,2020,,3,01/18/2020,Alaska,0,99,105,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,01/19/2020,01/25/2020,By Week,2020,,4,01/25/2020,Alaska,0,97,118,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,01/26/2020,02/01/2020,By Week,2020,,5,02/01/2020,Alaska,0,85,95,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,02/02/2020,02/08/2020,By Week,2020,,6,02/08/2020,Alaska,0,92,123,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,02/09/2020,02/15/2020,By Week,2020,,7,02/15/2020,Alaska,0,89,102,0,0,0,0,
01/19/2021,02/16/2020,02/22/2020,By Week,2020,,8,02/22/2020,Alaska,0,83,102,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,02/23/2020,02/29/2020,By Week,2020,,9,02/29/2020,Alaska,0,84,100,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,03/01/2020,03/07/2020,By Week,2020,,10,03/07/2020,Alaska,0,79,92,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,03/08/2020,03/14/2020,By Week,2020,,11,03/14/2020,Alaska,0,92,109,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,03/15/2020,03/21/2020,By Week,2020,,12,03/21/2020,Alaska,0,69,87,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,03/22/2020,03/28/2020,By Week,2020,,13,03/28/2020,Alaska,,85,99,10,,,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,03/29/2020,04/04/2020,By Week,2020,,14,04/04/2020,Alaska,,98,113,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,04/05/2020,04/11/2020,By Week,2020,,15,04/11/2020,Alaska,,84,97,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,04/12/2020,04/18/2020,By Week,2020,,16,04/18/2020,Alaska,,80,103,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,04/19/2020,04/25/2020,By Week,2020,,17,04/25/2020,Alaska,0,61,78,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,04/26/2020,05/02/2020,By Week,2020,,18,05/02/2020,Alaska,0,87,98,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,05/03/2020,05/09/2020,By Week,2020,,19,05/09/2020,Alaska,,89,114,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,05/10/2020,05/16/2020,By Week,2020,,20,05/16/2020,Alaska,0,83,108,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,05/17/2020,05/23/2020,By Week,2020,,21,05/23/2020,Alaska,0,82,106,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,05/24/2020,05/30/2020,By Week,2020,,22,05/30/2020,Alaska,0,97,134,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,05/31/2020,06/06/2020,By Week,2020,,23,06/06/2020,Alaska,0,78,92,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,06/07/2020,06/13/2020,By Week,2020,,24,06/13/2020,Alaska,,88,107,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,06/14/2020,06/20/2020,By Week,2020,,25,06/20/2020,Alaska,0,92,108,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,06/21/2020,06/27/2020,By Week,2020,,26,06/27/2020,Alaska,0,88,114,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,06/28/2020,07/04/2020,By Week,2020,,27,07/04/2020,Alaska,,84,100,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,07/05/2020,07/11/2020,By Week,2020,,28,07/11/2020,Alaska,,100,113,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,07/12/2020,07/18/2020,By Week,2020,,29,07/18/2020,Alaska,,88,117,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,07/19/2020,07/25/2020,By Week,2020,,30,07/25/2020,Alaska,,92,128,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,07/26/2020,08/01/2020,By Week,2020,,31,08/01/2020,Alaska,,112,148,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,08/02/2020,08/08/2020,By Week,2020,,32,08/08/2020,Alaska,,101,128,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,08/09/2020,08/15/2020,By Week,2020,,33,08/15/2020,Alaska,,74,82,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,08/16/2020,08/22/2020,By Week,2020,,34,08/22/2020,Alaska,,114,135,,,0,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,08/23/2020,08/29/2020,By Week,2020,,35,08/29/2020,Alaska,,93,117,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,08/30/2020,09/05/2020,By Week,2020,,36,09/05/2020,Alaska,,104,127,,,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,09/06/2020,09/12/2020,By Week,2020,,37,09/12/2020,Alaska,,87,109,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,09/13/2020,09/19/2020,By Week,2020,,38,09/19/2020,Alaska,,103,115,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,09/20/2020,09/26/2020,By Week,2020,,39,09/26/2020,Alaska,,112,120,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,09/27/2020,10/03/2020,By Week,2020,,40,10/03/2020,Alaska,,74,84,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,10/04/2020,10/10/2020,By Week,2020,,41,10/10/2020,Alaska,,111,131,10,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,10/11/2020,10/17/2020,By Week,2020,,42,10/17/2020,Alaska,10,99,115,,,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,10/18/2020,10/24/2020,By Week,2020,,43,10/24/2020,Alaska,,99,116,,,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,10/25/2020,10/31/2020,By Week,2020,,44,10/31/2020,Alaska,10,104,139,10,,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,11/01/2020,11/07/2020,By Week,2020,,45,11/07/2020,Alaska,,99,110,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,11/08/2020,11/14/2020,By Week,2020,,46,11/14/2020,Alaska,14,96,112,16,12,0,18,
01/19/2021,11/15/2020,11/21/2020,By Week,2020,,47,11/21/2020,Alaska,14,106,122,,,0,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,11/22/2020,11/28/2020,By Week,2020,,48,11/28/2020,Alaska,20,100,105,18,14,0,24,
01/19/2021,11/29/2020,12/05/2020,By Week,2020,,49,12/05/2020,Alaska,21,83,102,13,11,,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,12/06/2020,12/12/2020,By Week,2020,,50,12/12/2020,Alaska,15,89,89,10,,0,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,12/13/2020,12/19/2020,By Week,2020,,51,12/19/2020,Alaska,,56,62,,,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,12/20/2020,12/26/2020,By Week,2020,,52,12/26/2020,Alaska,,40,47,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,12/27/2020,01/02/2021,By Week,,,53,01/02/2021,Alaska,,35,41,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,01/03/2021,01/09/2021,By Week,2021,,1,01/09/2021,Alaska,0,15,17,0,0,0,0,
01/19/2021,01/10/2021,01/16/2021,By Week,2021,,2,01/16/2021,Alaska,0,,7,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,12/29/2019,01/04/2020,By Week,,,1,01/04/2020,Arizona,0,1301,96,81,0,,86,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,01/05/2020,01/11/2020,By Week,2020,,2,01/11/2020,Arizona,0,1390,102,94,0,,102,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,01/12/2020,01/18/2020,By Week,2020,,3,01/18/2020,Arizona,0,1315,105,70,0,11,81,
01/19/2021,01/19/2020,01/25/2020,By Week,2020,,4,01/25/2020,Arizona,0,1275,100,91,0,,100,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,01/26/2020,02/01/2020,By Week,2020,,5,02/01/2020,Arizona,0,1265,99,74,0,13,87,
01/19/2021,02/02/2020,02/08/2020,By Week,2020,,6,02/08/2020,Arizona,0,1264,102,79,0,11,90,
01/19/2021,02/09/2020,02/15/2020,By Week,2020,,7,02/15/2020,Arizona,0,1312,111,92,0,14,106,
01/19/2021,02/16/2020,02/22/2020,By Week,2020,,8,02/22/2020,Arizona,0,1342,112,80,0,11,91,
01/19/2021,02/23/2020,02/29/2020,By Week,2020,,9,02/29/2020,Arizona,0,1352,110,80,0,15,95,
01/19/2021,03/01/2020,03/07/2020,By Week,2020,,10,03/07/2020,Arizona,0,1380,112,77,0,14,91,
01/19/2021,03/08/2020,03/14/2020,By Week,2020,,11,03/14/2020,Arizona,0,1349,110,82,0,11,93,
01/19/2021,03/15/2020,03/21/2020,By Week,2020,,12,03/21/2020,Arizona,,1290,107,102,,,112,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,03/22/2020,03/28/2020,By Week,2020,,13,03/28/2020,Arizona,31,1324,112,117,19,,134,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/19/2021,03/29/2020,04/04/2020,By Week,2020,,14,04/04/2020,Arizona,58,1356,111,124,32,,154,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
