OBJECTID,Name,Population,desc_,attribute,attr_date,metric,value,rep_date,Shape__Area,Shape__Length
64,Colorado,5694287,COVID-19 in Colorado by Age Group,20-29,,Percent of Cases,13.36,3/19/20,28.039425,22.01992042
65,Colorado,5694287,COVID-19 in Colorado by Age Group,30-39,,Percent of Cases,17.69,3/19/20,28.039425,22.01992042
66,Colorado,5694287,COVID-19 in Colorado by Age Group,40-49,,Percent of Cases,19.13,3/19/20,28.039425,22.01992042
67,Colorado,5694287,COVID-19 in Colorado by Age Group,50-59,,Percent of Cases,18.05,3/19/20,28.039425,22.01992042
68,Colorado,5694287,COVID-19 in Colorado by Age Group,60-69,,Percent of Cases,14.8,3/19/20,28.039425,22.01992042
69,Colorado,5694287,COVID-19 in Colorado by Age Group,70-79,,Percent of Cases,9.03,3/19/20,28.039425,22.01992042
70,Colorado,5694287,COVID-19 in Colorado by Age Group,80+,,Percent of Cases,2.89,3/19/20,28.039425,22.01992042
71,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","0-9, Not Hospitalized",,Cases,2,3/19/20,28.039425,22.01992042
72,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","10-19, Not Hospitalized",,Cases,12,3/19/20,28.039425,22.01992042
73,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","20-29, Not Hospitalized",,Cases,37,3/19/20,28.039425,22.01992042
74,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","30-39, Hospitalized",,Cases,3,3/19/20,28.039425,22.01992042
75,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","30-39, Not Hospitalized",,Cases,46,3/19/20,28.039425,22.01992042
76,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","40-49, Hospitalized",,Cases,2,3/19/20,28.039425,22.01992042
77,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","40-49, Not Hospitalized",,Cases,51,3/19/20,28.039425,22.01992042
78,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","50-59, Hospitalized",,Cases,9,3/19/20,28.039425,22.01992042
79,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","50-59, Not Hospitalized",,Cases,41,3/19/20,28.039425,22.01992042
80,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","60-69, Hospitalized",,Cases,14,3/19/20,28.039425,22.01992042
81,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","60-69, Not Hospitalized",,Cases,27,3/19/20,28.039425,22.01992042
82,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","70-79, Hospitalized",,Cases,6,3/19/20,28.039425,22.01992042
83,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","70-79, Not Hospitalized",,Cases,19,3/19/20,28.039425,22.01992042
84,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","80+, Hospitalized",,Cases,4,3/19/20,28.039425,22.01992042
85,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","80+, Not Hospitalized",,Cases,4,3/19/20,28.039425,22.01992042
86,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,2/18/20,Cases,1,3/19/20,28.039425,22.01992042
87,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,2/19/20,Cases,1,3/19/20,28.039425,22.01992042
88,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,2/20/20,Cases,3,3/19/20,28.039425,22.01992042
89,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,2/23/20,Cases,1,3/19/20,28.039425,22.01992042
90,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,2/26/20,Cases,1,3/19/20,28.039425,22.01992042
91,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,2/27/20,Cases,1,3/19/20,28.039425,22.01992042
92,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,2/28/20,Cases,2,3/19/20,28.039425,22.01992042
93,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,2/29/20,Cases,2,3/19/20,28.039425,22.01992042
94,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/1/20,Cases,9,3/19/20,28.039425,22.01992042
95,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/2/20,Cases,8,3/19/20,28.039425,22.01992042
96,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/3/20,Cases,11,3/19/20,28.039425,22.01992042
97,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/4/20,Cases,14,3/19/20,28.039425,22.01992042
98,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/5/20,Cases,4,3/19/20,28.039425,22.01992042
99,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/6/20,Cases,12,3/19/20,28.039425,22.01992042
100,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/7/20,Cases,11,3/19/20,28.039425,22.01992042
101,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/8/20,Cases,18,3/19/20,28.039425,22.01992042
102,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/9/20,Cases,14,3/19/20,28.039425,22.01992042
103,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/10/20,Cases,23,3/19/20,28.039425,22.01992042
104,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/11/20,Cases,10,3/19/20,28.039425,22.01992042
105,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/12/20,Cases,4,3/19/20,28.039425,22.01992042
106,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/13/20,Cases,1,3/19/20,28.039425,22.01992042
107,Colorado,5694287,COVID-19 in Colorado by Age Group,0-9,,Percent of Cases,0.83,3/20/20,28.039425,22.01992042
108,Colorado,5694287,COVID-19 in Colorado by Age Group,19-Oct,,Percent of Cases,4.13,3/20/20,28.039425,22.01992042
109,Colorado,5694287,COVID-19 in Colorado by Age Group,20-29,,Percent of Cases,14.6,3/20/20,28.039425,22.01992042
110,Colorado,5694287,COVID-19 in Colorado by Age Group,30-39,,Percent of Cases,18.18,3/20/20,28.039425,22.01992042
111,Colorado,5694287,COVID-19 in Colorado by Age Group,40-49,,Percent of Cases,17.08,3/20/20,28.039425,22.01992042
112,Colorado,5694287,COVID-19 in Colorado by Age Group,50-59,,Percent of Cases,17.63,3/20/20,28.039425,22.01992042
113,Colorado,5694287,COVID-19 in Colorado by Age Group,60-69,,Percent of Cases,14.33,3/20/20,28.039425,22.01992042
114,Colorado,5694287,COVID-19 in Colorado by Age Group,70-79,,Percent of Cases,10.19,3/20/20,28.039425,22.01992042
115,Colorado,5694287,COVID-19 in Colorado by Age Group,80+,,Percent of Cases,3.03,3/20/20,28.039425,22.01992042
116,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","0-9, Not Hospitalized",,Cases,3,3/20/20,28.039425,22.01992042
117,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","10-19, Not Hospitalized",,Cases,15,3/20/20,28.039425,22.01992042
118,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","20-29, Not Hospitalized",,Cases,53,3/20/20,28.039425,22.01992042
119,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","30-39, Hospitalized",,Cases,4,3/20/20,28.039425,22.01992042
120,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","30-39, Not Hospitalized",,Cases,62,3/20/20,28.039425,22.01992042
121,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","40-49, Hospitalized",,Cases,2,3/20/20,28.039425,22.01992042
122,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","40-49, Not Hospitalized",,Cases,60,3/20/20,28.039425,22.01992042
123,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","50-59, Hospitalized",,Cases,10,3/20/20,28.039425,22.01992042
124,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","50-59, Not Hospitalized",,Cases,54,3/20/20,28.039425,22.01992042
125,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","60-69, Hospitalized",,Cases,15,3/20/20,28.039425,22.01992042
126,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","60-69, Not Hospitalized",,Cases,37,3/20/20,28.039425,22.01992042
127,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","70-79, Hospitalized",,Cases,9,3/20/20,28.039425,22.01992042
128,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","70-79, Not Hospitalized",,Cases,28,3/20/20,28.039425,22.01992042
129,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","80+, Hospitalized",,Cases,4,3/20/20,28.039425,22.01992042
130,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","80+, Not Hospitalized",,Cases,7,3/20/20,28.039425,22.01992042
131,Colorado,5694287,COVID-19 in Colorado by Age Group,0-9,,Percent of Cases,0.63,3/21/20,28.039425,22.01992042
132,Colorado,5694287,COVID-19 in Colorado by Age Group,19-Oct,,Percent of Cases,3.16,3/21/20,28.039425,22.01992042
133,Colorado,5694287,COVID-19 in Colorado by Age Group,20-29,,Percent of Cases,13.68,3/21/20,28.039425,22.01992042
134,Colorado,5694287,COVID-19 in Colorado by Age Group,30-39,,Percent of Cases,17.68,3/21/20,28.039425,22.01992042
135,Colorado,5694287,COVID-19 in Colorado by Age Group,40-49,,Percent of Cases,20,3/21/20,28.039425,22.01992042
136,Colorado,5694287,COVID-19 in Colorado by Age Group,50-59,,Percent of Cases,16.63,3/21/20,28.039425,22.01992042
137,Colorado,5694287,COVID-19 in Colorado by Age Group,60-69,,Percent of Cases,13.89,3/21/20,28.039425,22.01992042
138,Colorado,5694287,COVID-19 in Colorado by Age Group,70-79,,Percent of Cases,9.68,3/21/20,28.039425,22.01992042
139,Colorado,5694287,COVID-19 in Colorado by Age Group,80+,,Percent of Cases,4.21,3/21/20,28.039425,22.01992042
140,Colorado,5694287,COVID-19 in Colorado by Age Group,Unknown,,Percent of Cases,0.42,3/21/20,28.039425,22.01992042
141,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","0-9, Not Hospitalized",,Cases,3,3/21/20,28.039425,22.01992042
142,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","10-19, Not Hospitalized",,Cases,15,3/21/20,28.039425,22.01992042
143,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","20-29, Not Hospitalized",,Cases,65,3/21/20,28.039425,22.01992042
144,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","30-39, Hospitalized",,Cases,4,3/21/20,28.039425,22.01992042
145,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","30-39, Not Hospitalized",,Cases,80,3/21/20,28.039425,22.01992042
146,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","40-49, Hospitalized",,Cases,4,3/21/20,28.039425,22.01992042
147,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","40-49, Not Hospitalized",,Cases,91,3/21/20,28.039425,22.01992042
148,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","50-59, Hospitalized",,Cases,10,3/21/20,28.039425,22.01992042
149,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","50-59, Not Hospitalized",,Cases,69,3/21/20,28.039425,22.01992042
150,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","60-69, Hospitalized",,Cases,17,3/21/20,28.039425,22.01992042
151,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","60-69, Not Hospitalized",,Cases,49,3/21/20,28.039425,22.01992042
152,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","70-79, Hospitalized",,Cases,10,3/21/20,28.039425,22.01992042
153,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","70-79, Not Hospitalized",,Cases,36,3/21/20,28.039425,22.01992042
154,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","80+, Hospitalized",,Cases,4,3/21/20,28.039425,22.01992042
155,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","80+, Not Hospitalized",,Cases,16,3/21/20,28.039425,22.01992042
156,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","Unknown, Not Hospitalized",,Cases,2,3/21/20,28.039425,22.01992042
157,Colorado,5694287,COVID-19 in Colorado by Age Group,0-9,,Percent of Cases,0.85,3/22/20,28.039425,22.01992042
158,Colorado,5694287,COVID-19 in Colorado by Age Group,19-Oct,,Percent of Cases,2.88,3/22/20,28.039425,22.01992042
159,Colorado,5694287,COVID-19 in Colorado by Age Group,20-29,,Percent of Cases,14.04,3/22/20,28.039425,22.01992042
160,Colorado,5694287,COVID-19 in Colorado by Age Group,30-39,,Percent of Cases,17.26,3/22/20,28.039425,22.01992042
161,Colorado,5694287,COVID-19 in Colorado by Age Group,40-49,,Percent of Cases,19.8,3/22/20,28.039425,22.01992042
162,Colorado,5694287,COVID-19 in Colorado by Age Group,50-59,,Percent of Cases,16.07,3/22/20,28.039425,22.01992042
163,Colorado,5694287,COVID-19 in Colorado by Age Group,60-69,,Percent of Cases,13.87,3/22/20,28.039425,22.01992042
164,Colorado,5694287,COVID-19 in Colorado by Age Group,70-79,,Percent of Cases,10.15,3/22/20,28.039425,22.01992042
165,Colorado,5694287,COVID-19 in Colorado by Age Group,80+,,Percent of Cases,4.57,3/22/20,28.039425,22.01992042
166,Colorado,5694287,COVID-19 in Colorado by Age Group,Unknown,,Percent of Cases,0.51,3/22/20,28.039425,22.01992042
167,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","0-9, Not Hospitalized",,Cases,5,3/22/20,28.039425,22.01992042
168,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","10-19, Not Hospitalized",,Cases,17,3/22/20,28.039425,22.01992042
169,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","20-29, Not Hospitalized",,Cases,83,3/22/20,28.039425,22.01992042
170,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","30-39, Hospitalized",,Cases,6,3/22/20,28.039425,22.01992042
171,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","30-39, Not Hospitalized",,Cases,96,3/22/20,28.039425,22.01992042
172,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","40-49, Hospitalized",,Cases,7,3/22/20,28.039425,22.01992042
173,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","40-49, Not Hospitalized",,Cases,110,3/22/20,28.039425,22.01992042
174,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","50-59, Hospitalized",,Cases,11,3/22/20,28.039425,22.01992042
175,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","50-59, Not Hospitalized",,Cases,84,3/22/20,28.039425,22.01992042
176,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","60-69, Hospitalized",,Cases,17,3/22/20,28.039425,22.01992042
177,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","60-69, Not Hospitalized",,Cases,65,3/22/20,28.039425,22.01992042
178,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","70-79, Hospitalized",,Cases,12,3/22/20,28.039425,22.01992042
179,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","70-79, Not Hospitalized",,Cases,48,3/22/20,28.039425,22.01992042
180,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","80+, Hospitalized",,Cases,5,3/22/20,28.039425,22.01992042
181,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","80+, Not Hospitalized",,Cases,22,3/22/20,28.039425,22.01992042
182,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","Unknown, Not Hospitalized",,Cases,3,3/22/20,28.039425,22.01992042
183,Colorado,5694287,COVID-19 in Colorado by Age Group,0-9,,Percent of Cases,0.69,3/23/20,28.039425,22.01992042
184,Colorado,5694287,COVID-19 in Colorado by Age Group,19-Oct,,Percent of Cases,2.5,3/23/20,28.039425,22.01992042
185,Colorado,5694287,COVID-19 in Colorado by Age Group,20-29,,Percent of Cases,14.03,3/23/20,28.039425,22.01992042
186,Colorado,5694287,COVID-19 in Colorado by Age Group,30-39,,Percent of Cases,17.08,3/23/20,28.039425,22.01992042
187,Colorado,5694287,COVID-19 in Colorado by Age Group,40-49,,Percent of Cases,20.14,3/23/20,28.039425,22.01992042
188,Colorado,5694287,COVID-19 in Colorado by Age Group,50-59,,Percent of Cases,15.83,3/23/20,28.039425,22.01992042
189,Colorado,5694287,COVID-19 in Colorado by Age Group,60-69,,Percent of Cases,13.61,3/23/20,28.039425,22.01992042
190,Colorado,5694287,COVID-19 in Colorado by Age Group,70-79,,Percent of Cases,11.11,3/23/20,28.039425,22.01992042
191,Colorado,5694287,COVID-19 in Colorado by Age Group,80+,,Percent of Cases,4.58,3/23/20,28.039425,22.01992042
192,Colorado,5694287,COVID-19 in Colorado by Age Group,Unknown,,Percent of Cases,0.42,3/23/20,28.039425,22.01992042
193,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","0-9, Not Hospitalized",,Cases,5,3/23/20,28.039425,22.01992042
194,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","10-19, Not Hospitalized",,Cases,18,3/23/20,28.039425,22.01992042
