OBJECTID,section,category,description,date,metric,value,report_date
49,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,03/08/2020,Counts,1,01/31/2021
50,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,03/09/2020,Counts,6,01/31/2021
51,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,03/10/2020,Counts,6,01/31/2021
52,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,03/11/2020,Counts,20,01/31/2021
53,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,03/12/2020,Counts,11,01/31/2021
54,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,03/13/2020,Counts,27,01/31/2021
55,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,03/14/2020,Counts,29,01/31/2021
56,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,03/15/2020,Counts,35,01/31/2021
57,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,03/16/2020,Counts,35,01/31/2021
58,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,03/17/2020,Counts,30,01/31/2021
59,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,03/18/2020,Counts,71,01/31/2021
60,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,03/19/2020,Counts,83,01/31/2021
61,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,03/20/2020,Counts,122,01/31/2021
62,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,03/21/2020,Counts,118,01/31/2021
63,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,03/22/2020,Counts,124,01/31/2021
64,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,03/23/2020,Counts,196,01/31/2021
65,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,03/24/2020,Counts,175,01/31/2021
66,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,03/25/2020,Counts,312,01/31/2021
67,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,03/26/2020,Counts,295,01/31/2021
68,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,03/27/2020,Counts,330,01/31/2021
69,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,03/28/2020,Counts,243,01/31/2021
70,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,03/29/2020,Counts,333,01/31/2021
71,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,03/30/2020,Counts,329,01/31/2021
72,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,03/31/2020,Counts,384,01/31/2021
73,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,04/01/2020,Counts,399,01/31/2021
74,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,04/02/2020,Counts,450,01/31/2021
75,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,04/03/2020,Counts,389,01/31/2021
76,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,04/04/2020,Counts,385,01/31/2021
77,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,04/05/2020,Counts,222,01/31/2021
78,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,04/06/2020,Counts,267,01/31/2021
79,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,04/07/2020,Counts,261,01/31/2021
80,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,04/08/2020,Counts,553,01/31/2021
81,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,04/09/2020,Counts,366,01/31/2021
82,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,04/10/2020,Counts,435,01/31/2021
83,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,04/11/2020,Counts,433,01/31/2021
84,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,04/12/2020,Counts,381,01/31/2021
85,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,04/13/2020,Counts,293,01/31/2021
86,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,04/14/2020,Counts,317,01/31/2021
87,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,04/15/2020,Counts,419,01/31/2021
88,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,04/16/2020,Counts,353,01/31/2021
89,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,04/17/2020,Counts,422,01/31/2021
90,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,04/18/2020,Counts,271,01/31/2021
91,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,04/19/2020,Counts,314,01/31/2021
92,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,04/20/2020,Counts,300,01/31/2021
93,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,04/21/2020,Counts,470,01/31/2021
94,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,04/22/2020,Counts,401,01/31/2021
95,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,04/23/2020,Counts,968,01/31/2021
96,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,04/24/2020,Counts,709,01/31/2021
97,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,04/25/2020,Counts,493,01/31/2021
98,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,04/26/2020,Counts,432,01/31/2021
99,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,04/27/2020,Counts,493,01/31/2021
100,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,04/28/2020,Counts,435,01/31/2021
101,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,04/29/2020,Counts,843,01/31/2021
102,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,04/30/2020,Counts,460,01/31/2021
103,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,05/01/2020,Counts,463,01/31/2021
104,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,05/02/2020,Counts,408,01/31/2021
105,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,05/03/2020,Counts,243,01/31/2021
106,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,05/04/2020,Counts,365,01/31/2021
107,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,05/05/2020,Counts,394,01/31/2021
108,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,05/06/2020,Counts,446,01/31/2021
109,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,05/07/2020,Counts,458,01/31/2021
110,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,05/08/2020,Counts,548,01/31/2021
111,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,05/09/2020,Counts,348,01/31/2021
112,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,05/10/2020,Counts,218,01/31/2021
113,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,05/11/2020,Counts,249,01/31/2021
114,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,05/12/2020,Counts,296,01/31/2021
115,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,05/13/2020,Counts,432,01/31/2021
116,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,05/14/2020,Counts,413,01/31/2021
117,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,05/15/2020,Counts,431,01/31/2021
118,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,05/16/2020,Counts,329,01/31/2021
119,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,05/17/2020,Counts,219,01/31/2021
120,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,05/18/2020,Counts,276,01/31/2021
121,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,05/19/2020,Counts,289,01/31/2021
122,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,05/20/2020,Counts,368,01/31/2021
123,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,05/21/2020,Counts,308,01/31/2021
124,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,05/22/2020,Counts,457,01/31/2021
125,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,05/23/2020,Counts,227,01/31/2021
126,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,05/24/2020,Counts,270,01/31/2021
127,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,05/25/2020,Counts,304,01/31/2021
128,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,05/26/2020,Counts,203,01/31/2021
129,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,05/27/2020,Counts,286,01/31/2021
130,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,05/28/2020,Counts,342,01/31/2021
131,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,05/29/2020,Counts,489,01/31/2021
132,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,05/30/2020,Counts,301,01/31/2021
133,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,05/31/2020,Counts,151,01/31/2021
134,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,06/01/2020,Counts,210,01/31/2021
135,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,06/02/2020,Counts,243,01/31/2021
136,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,06/03/2020,Counts,304,01/31/2021
137,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,06/04/2020,Counts,276,01/31/2021
138,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,06/05/2020,Counts,237,01/31/2021
139,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,06/06/2020,Counts,158,01/31/2021
140,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,06/07/2020,Counts,144,01/31/2021
141,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,06/08/2020,Counts,181,01/31/2021
142,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,06/09/2020,Counts,130,01/31/2021
143,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,06/10/2020,Counts,123,01/31/2021
144,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,06/11/2020,Counts,238,01/31/2021
145,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,06/12/2020,Counts,231,01/31/2021
146,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,06/13/2020,Counts,119,01/31/2021
147,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,06/14/2020,Counts,131,01/31/2021
148,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,06/15/2020,Counts,139,01/31/2021
149,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,06/16/2020,Counts,252,01/31/2021
150,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,06/17/2020,Counts,251,01/31/2021
151,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,06/18/2020,Counts,345,01/31/2021
152,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,06/19/2020,Counts,179,01/31/2021
153,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,06/20/2020,Counts,207,01/31/2021
154,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,06/21/2020,Counts,141,01/31/2021
155,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,06/22/2020,Counts,184,01/31/2021
156,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,06/23/2020,Counts,257,01/31/2021
157,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,06/24/2020,Counts,260,01/31/2021
158,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,06/25/2020,Counts,325,01/31/2021
159,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,06/26/2020,Counts,288,01/31/2021
160,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,06/27/2020,Counts,288,01/31/2021
161,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,06/28/2020,Counts,167,01/31/2021
162,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,06/29/2020,Counts,218,01/31/2021
163,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,06/30/2020,Counts,289,01/31/2021
164,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,07/01/2020,Counts,395,01/31/2021
165,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,07/02/2020,Counts,366,01/31/2021
166,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,07/03/2020,Counts,296,01/31/2021
167,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,07/04/2020,Counts,227,01/31/2021
168,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,07/05/2020,Counts,186,01/31/2021
169,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,07/06/2020,Counts,388,01/31/2021
170,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,07/07/2020,Counts,354,01/31/2021
171,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,07/08/2020,Counts,410,01/31/2021
172,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,07/09/2020,Counts,631,01/31/2021
173,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,07/10/2020,Counts,450,01/31/2021
174,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,07/11/2020,Counts,374,01/31/2021
175,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,07/12/2020,Counts,368,01/31/2021
176,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,07/13/2020,Counts,421,01/31/2021
177,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,07/14/2020,Counts,411,01/31/2021
178,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,07/15/2020,Counts,595,01/31/2021
179,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,07/16/2020,Counts,583,01/31/2021
180,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,07/17/2020,Counts,526,01/31/2021
181,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,07/18/2020,Counts,368,01/31/2021
182,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,07/19/2020,Counts,427,01/31/2021
183,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,07/20/2020,Counts,559,01/31/2021
184,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,07/21/2020,Counts,621,01/31/2021
185,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,07/22/2020,Counts,605,01/31/2021
186,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,07/23/2020,Counts,716,01/31/2021
187,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,07/24/2020,Counts,801,01/31/2021
188,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,07/25/2020,Counts,580,01/31/2021
189,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,07/26/2020,Counts,199,01/31/2021
190,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,07/27/2020,Counts,878,01/31/2021
191,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,07/28/2020,Counts,494,01/31/2021
192,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,07/29/2020,Counts,458,01/31/2021
193,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,07/30/2020,Counts,595,01/31/2021
194,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,07/31/2020,Counts,548,01/31/2021
195,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,08/01/2020,Counts,431,01/31/2021
196,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,08/02/2020,Counts,248,01/31/2021
197,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,08/03/2020,Counts,524,01/31/2021
198,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,08/04/2020,Counts,548,01/31/2021
199,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,08/05/2020,Counts,407,01/31/2021
200,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,08/06/2020,Counts,443,01/31/2021
201,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,08/07/2020,Counts,452,01/31/2021
202,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,08/08/2020,Counts,296,01/31/2021
203,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,08/09/2020,Counts,279,01/31/2021
204,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,08/10/2020,Counts,295,01/31/2021
205,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,08/11/2020,Counts,237,01/31/2021
206,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,08/12/2020,Counts,461,01/31/2021
207,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,08/13/2020,Counts,401,01/31/2021
208,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,08/14/2020,Counts,279,01/31/2021
209,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,08/15/2020,Counts,354,01/31/2021
210,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,08/16/2020,Counts,173,01/31/2021
211,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,08/17/2020,Counts,266,01/31/2021
212,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,08/18/2020,Counts,315,01/31/2021
213,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,08/19/2020,Counts,374,01/31/2021
214,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,08/20/2020,Counts,394,01/31/2021
215,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,08/21/2020,Counts,300,01/31/2021
216,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,08/22/2020,Counts,270,01/31/2021
217,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,08/23/2020,Counts,183,01/31/2021
218,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,08/24/2020,Counts,306,01/31/2021
219,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,08/25/2020,Counts,250,01/31/2021
220,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,08/26/2020,Counts,364,01/31/2021
221,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,08/27/2020,Counts,429,01/31/2021
222,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,08/28/2020,Counts,312,01/31/2021
223,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,08/29/2020,Counts,219,01/31/2021
224,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,08/30/2020,Counts,186,01/31/2021
225,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,08/31/2020,Counts,369,01/31/2021
226,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,09/01/2020,Counts,233,01/31/2021
227,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,09/02/2020,Counts,307,01/31/2021
228,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,09/03/2020,Counts,395,01/31/2021
229,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,09/04/2020,Counts,321,01/31/2021
230,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,09/05/2020,Counts,277,01/31/2021
231,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,09/06/2020,Counts,246,01/31/2021
232,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,09/07/2020,Counts,191,01/31/2021
233,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,09/08/2020,Counts,312,01/31/2021
234,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,09/09/2020,Counts,261,01/31/2021
235,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,09/10/2020,Counts,360,01/31/2021
236,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,09/11/2020,Counts,405,01/31/2021
237,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,09/12/2020,Counts,450,01/31/2021
238,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,09/13/2020,Counts,401,01/31/2021
239,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,09/14/2020,Counts,438,01/31/2021
240,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,09/15/2020,Counts,487,01/31/2021
241,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,09/16/2020,Counts,501,01/31/2021
242,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,09/17/2020,Counts,616,01/31/2021
243,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,09/18/2020,Counts,646,01/31/2021
244,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,09/19/2020,Counts,500,01/31/2021
245,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,09/20/2020,Counts,542,01/31/2021
246,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,09/21/2020,Counts,648,01/31/2021
247,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,09/22/2020,Counts,605,01/31/2021
248,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,09/23/2020,Counts,641,01/31/2021
