Name,Desc_,Date,Cases,Tested,Deaths,DthCOVID19,Population,Rate,Hosp,Counties,Outbreaks,ObjectId
Colorado,State Data,05/08/2020,18827,96772,960,,5694287,330.63,3600,59,184,53
Colorado,State Data,05/09/2020,19375,100610,967,,5694287,340.25,3623,59,188,54
Colorado,State Data,05/10/2020,19703,104077,971,,5694287,346.01,3631,60,190,55
Colorado,State Data,05/11/2020,19879,106761,987,,5694287,349.1,3663,60,192,56
Colorado,State Data,05/12/2020,20157,109304,1009,,5694287,353.99,3695,60,199,57
Colorado,State Data,05/13/2020,20475,112505,1062,,5694287,359.57,3735,60,206,58
Colorado,State Data,05/14/2020,20838,115996,1091,,5694287,365.95,3789,60,208,59
Colorado,State Data,05/15/2020,21232,119759,1150,878,5694287,372.86,3842,60,213,60
Colorado,State Data,05/16/2020,21633,123422,1192,878,5694287,379.91,3866,60,222,61
Colorado,State Data,05/17/2020,21938,126330,1215,878,5694287,385.26,3872,60,223,62
Colorado,State Data,05/18/2020,22202,129159,1224,921,5694287,389.9,3899,60,228,63
Colorado,State Data,05/19/2020,22482,131837,1257,968,5694287,394.82,3955,60,240,64
Colorado,State Data,05/20/2020,22797,135611,1299,1001,5694287,400.35,3990,60,249,65
Colorado,State Data,05/21/2020,23191,139937,1310,1062,5694287,407.27,4037,60,256,66
Colorado,State Data,05/22/2020,23487,142667,1324,1088,5694287,412.47,4082,60,260,67
Colorado,State Data,05/23/2020,23964,147744,1327,1088,5694287,420.84,4105,60,263,68
Colorado,State Data,05/24/2020,24174,150308,1332,1088,5694287,424.53,4119,60,264,69
Colorado,State Data,05/25/2020,24269,153683,1333,1088,5694287,426.2,4128,60,266,70
Colorado,State Data,05/26/2020,24565,157036,1352,1114,5694287,431.4,4160,60,267,71
Colorado,State Data,05/27/2020,24767,160796,1392,1135,5694287,434.94,4196,60,271,72
Colorado,State Data,05/28/2020,25121,166596,1421,1168,5694287,441.16,4254,60,272,73
Colorado,State Data,05/29/2020,25613,173300,1436,1181,5694287,449.8,4307,60,277,74
Colorado,State Data,05/30/2020,26098,178196,1443,1181,5694287,458.32,4333,60,280,75
Colorado,State Data,05/31/2020,26378,183947,1445,1181,5694287,463.24,4347,60,281,76
Colorado,State Data,06/01/2020,26577,188069,1458,1185,5694287,466.73,4372,60,282,77
Colorado,State Data,06/02/2020,26788,190700,1474,1228,5694287,470.44,4419,60,284,78
Colorado,State Data,06/03/2020,27060,194697,1494,1254,5694287,475.21,4443,60,292,79
Colorado,State Data,06/04/2020,27360,200912,1512,1255,5694287,480.48,4460,60,294,80
Colorado,State Data,06/05/2020,27615,205761,1524,1274,5694287,484.96,4472,60,296,81
Colorado,State Data,06/06/2020,27848,210485,1527,1274,5694287,489.05,4480,60,299,82
Colorado,State Data,06/07/2020,28001,214940,1527,1274,5694287,491.74,4485,60,299,83
Colorado,State Data,06/08/2020,28183,219331,1543,1292,5694287,494.93,4859,60,299,84
Colorado,State Data,06/09/2020,28347,223534,1553,1312,5694287,497.81,5025,60,301,85
Colorado,State Data,06/10/2020,28499,227761,1573,1328,5694287,500.48,5035,60,306,86
Colorado,State Data,06/11/2020,28647,231763,1583,1339,5694287,503.08,5057,60,308,87
Colorado,State Data,06/12/2020,28822,236461,1595,1348,5694287,506.16,5234,60,308,88
Colorado,State Data,06/13/2020,29017,242034,1598,1348,5694287,509.58,5244,60,309,89
Colorado,State Data,06/14/2020,29130,246478,1599,1348,5694287,511.57,5244,60,312,90
Colorado,State Data,06/15/2020,29299,250523,1605,1373,5694287,514.53,5269,60,314,91
Colorado,State Data,06/16/2020,29442,254020,1617,1373,5694287,517.04,5272,60,318,92
Colorado,State Data,06/17/2020,29673,259546,1631,1402,5694287,521.1,5294,60,323,93
Colorado,State Data,06/18/2020,29901,264466,1638,1417,5694287,525.11,5308,60,324,94
Colorado,State Data,06/19/2020,30187,270335,1643,1429,5694287,530.13,5318,60,327,95
Colorado,State Data,06/20/2020,30349,275645,1647,1429,5694287,532.97,5323,60,327,96
Colorado,State Data,06/21/2020,30539,280033,1647,1429,5694287,536.31,5327,60,330,97
Colorado,State Data,06/22/2020,30705,285130,1651,1438,5694287,539.22,5343,60,330,98
Colorado,State Data,06/23/2020,30893,288079,1665,1455,5694287,542.53,5366,60,333,99
Colorado,State Data,06/24/2020,31155,293284,1667,1457,5694287,547.13,5375,60,337,100
Colorado,State Data,06/25/2020,31479,299772,1669,1475,5694287,552.82,5386,61,338,101
Colorado,State Data,06/26/2020,31796,304759,1673,1482,5694287,558.38,5392,61,349,102
Colorado,State Data,06/27/2020,32022,310883,1674,1482,5694287,562.35,5399,61,350,103
Colorado,State Data,06/28/2020,32307,316734,1676,1482,5694287,567.36,5401,61,350,104
Colorado,State Data,06/29/2020,32511,320997,1682,1508,5694287,570.94,5442,61,353,105
Colorado,State Data,06/30/2020,32715,324632,1690,1520,5694287,574.52,5489,61,353,106
Colorado,State Data,07/01/2020,33029,330359,1697,1520,5694287,580.04,5513,61,362,107
Colorado,State Data,07/02/2020,33352,337391,1701,1521,5694287,585.71,5527,61,362,108
Note,Data is updated daily by about 4 p.m. and includes cases reported through the previous day.,,,,,,,,,,,109
Note,The number of cases includes people who have had a test that indicated they were positive for COVID-19. The number of cases also includes epidemiologically-linked cases -- or cases where public health epidemiologists have determined that infection is highly likely because a person exhibited symptoms and had close contact with someone who tested positive. The number of epidemiologically-linked cases represents a very small portion of the reported cases.,,,,,,,,,,,110
Note,Total people tested may not include all negative results. Testing data excludes serology and only counts PCR.,,,,,,,,,,,111
Note,Deaths due to COVID-19 (updated through the previous Saturday): https://www.cdc.gov/nchs/nvss/vsrr/covid19/index.htm (Table 2),,,,,,,,,,,112
