OBJECTID,Name,Desc_,Date,Cases,Tested,Deaths,Population,Rate,Hosp,Counties,Outbreaks,Shape__Area,Shape__Length
36,Colorado,State Data,4/21/20,10447,48704,486,5694287,183.46,2003,56,119,28.039425,22.01992042
37,Colorado,State Data,4/22/20,10878,50645,508,5694287,191.03,2123,56,123,28.039425,22.01992042
38,Colorado,State Data,4/23/20,11262,52324,552,5694287,197.78,2237,56,130,28.039425,22.01992042
39,Colorado,State Data,4/24/20,12255,56789,674,5694287,215.22,2366,56,134,28.039425,22.01992042
40,Colorado,State Data,4/25/20,12968,59791,672,5694287,227.74,2410,57,141,28.039425,22.01992042
41,Colorado,State Data,4/26/20,13441,63274,680,5694287,236.04,2438,57,143,28.039425,22.01992042
42,Colorado,State Data,4/27/20,13879,66341,706,5694287,243.74,2485,56,144,28.039425,22.01992042
43,Colorado,State Data,4/28/20,14316,67094,736,5694287,251.41,2571,56,149,28.039425,22.01992042
44,Colorado,State Data,4/29/20,14758,69449,766,5694287,259.17,2621,56,157,28.039425,22.01992042
45,Colorado,State Data,4/30/20,15284,72390,777,5694287,268.37,2697,56,159,28.039425,22.01992042
46,Colorado,State Data,5/1/20,15768,75259,820,5694287,276.91,2747,56,161,28.039425,22.01992042
47,Colorado,State Data,5/2/20,16225,78179,832,5694287,284.93,2793,56,163,28.039425,22.01992042
48,Colorado,State Data,5/3/20,16635,81352,842,5694287,292.13,2799,56,163,28.039425,22.01992042
49,Colorado,State Data,5/4/20,16907,83266,851,5694287,296.91,2838,56,163,28.039425,22.01992042
50,Colorado,State Data,5/5/20,17364,85976,903,5694287,304.94,2919,56,170,28.039425,22.01992042
51,Colorado,State Data,5/6/20,17830,89529,921,5694287,313.12,2986,57,174,28.039425,22.01992042
52,Note,Data is updated daily by about 4 p.m. and includes cases reported through the previous day.,,,,,,,,,,,
53,Note,The number of cases includes people who have had a test that indicated they were positive for COVID-19. The number of cases also includes epidemiologically-linked cases -- or cases where public health epidemiologists have determined that infection is high,,,,,,,,,,,
54,Note,Total people tested may not include all negative results. Testing data excludes serology and only counts PCR.,,,,,,,,,,,
