description,attribute,metric,value,,,
Case Counts by County,Pitkin,Rate Per 100000,89.25582952,,,
Case Counts by County,Pitkin,Cases,16,,,
Case Counts by County,Adams,Rate Per 100000,3.517548659,,,
Case Counts by County,Adams,Cases,18,,,
Case Counts by County,Gunnison,Rate Per 100000,128.0409731,,,
Case Counts by County,Gunnison,Cases,22,,,
Case Counts by County,Larimer,Rate Per 100000,9.131794626,,,
Case Counts by County,Larimer,Cases,32,,,
Case Counts by County,Douglas,Rate Per 100000,9.622758699,,,
Case Counts by County,Douglas,Cases,33,,,
Case Counts by County,Boulder,Rate Per 100000,11.3664291,,,
Case Counts by County,Boulder,Cases,37,,,
Case Counts by County,Weld,Rate Per 100000,11.77264165,,,
Case Counts by County,Weld,Cases,37,,,
Case Counts by County,Arapahoe,Rate Per 100000,6.906999553,,,
Case Counts by County,Arapahoe,Cases,45,,,
Case Counts by County,El Paso,Rate Per 100000,7.13749902,,,
Case Counts by County,El Paso,Cases,51,,,
Case Counts by County,Jefferson,Rate Per 100000,8.794968588,,,
Case Counts by County,Jefferson,Cases,51,,,
Case Counts by County,Eagle,Rate Per 100000,145.7327625,,,
Case Counts by County,Eagle,Cases,80,,,
Case Counts by County,Denver,Rate Per 100000,17.41281751,,,
Case Counts by County,Denver,Cases,125,,,
Case Counts by County,Unknown,Rate Per 100000,NA,,,
Case Counts by County,Unknown,Cases,1,,,
Case Counts by Age Group,0-9,Cases,5,,,
Case Counts by Age Group,0-9,Percent,0.85,,,
Case Counts by Age Group,10-19,Cases,17,,,
Case Counts by Age Group,10-19,Percent,2.88,,,
Case Counts by Age Group,20-29,Cases,83,,,
Case Counts by Age Group,20-29,Percent,14.04,,,
Case Counts by Age Group,30-39,Cases,102,,,
Case Counts by Age Group,30-39,Percent,17.26,,,
Case Counts by Age Group,40-49,Cases,117,,,
Case Counts by Age Group,40-49,Percent,19.80,,,
Case Counts by Age Group,50-59,Cases,95,,,
Case Counts by Age Group,50-59,Percent,16.07,,,
Case Counts by Age Group,60-69,Cases,82,,,
Case Counts by Age Group,60-69,Percent,13.87,,,
Case Counts by Age Group,70-79,Cases,60,,,
Case Counts by Age Group,70-79,Percent,10.15,,,
Case Counts by Age Group,80+,Cases,27,,,
Case Counts by Age Group,80+,Percent,4.57,,,
Case Counts by Age Group,Unknown,Cases,3,,,
Case Counts by Age Group,Unknown,Percent,0.51,,,
"Case Counts by Age Group, Hospitalizations","0-9, Not Hospitalized",Cases,5,,,
"Case Counts by Age Group, Hospitalizations","10-19, Not Hospitalized",Cases,17,,,
"Case Counts by Age Group, Hospitalizations","20-29, Not Hospitalized",Cases,83,,,
"Case Counts by Age Group, Hospitalizations","30-39, Hospitalized",Cases,6,,,
"Case Counts by Age Group, Hospitalizations","30-39, Not Hospitalized",Cases,96,,,
"Case Counts by Age Group, Hospitalizations","40-49, Hospitalized",Cases,7,,,
"Case Counts by Age Group, Hospitalizations","40-49, Not Hospitalized",Cases,110,,,
"Case Counts by Age Group, Hospitalizations","50-59, Hospitalized",Cases,11,,,
"Case Counts by Age Group, Hospitalizations","50-59, Not Hospitalized",Cases,84,,,
"Case Counts by Age Group, Hospitalizations","60-69, Hospitalized",Cases,17,,,
"Case Counts by Age Group, Hospitalizations","60-69, Not Hospitalized",Cases,65,,,
"Case Counts by Age Group, Hospitalizations","70-79, Hospitalized",Cases,12,,,
"Case Counts by Age Group, Hospitalizations","70-79, Not Hospitalized",Cases,48,,,
"Case Counts by Age Group, Hospitalizations","80+, Hospitalized",Cases,5,,,
"Case Counts by Age Group, Hospitalizations","80+, Not Hospitalized",Cases,22,,,
"Case Counts by Age Group, Hospitalizations","Unknown, Not Hospitalized",Cases,3,,,
Case Counts by Sex,Female,Cases,290,,,
Case Counts by Sex,Male,Cases,301,,,
