description,attribute,metric,value,,,,,
Case Counts by County,Custer County,Rate Per 100000,NA,,,,,
Case Counts by County,Delta County,Cases,1,,,,,
Case Counts by County,Delta County,Rate Per 100000,NA,,,,,
Case Counts by County,Denver County,Cases,262,,,,,
Case Counts by County,Denver County,Rate Per 100000,36.5005705,,,,,
Case Counts by County,Dolores County,Cases,0,,,,,
Case Counts by County,Dolores County,Rate Per 100000,NA,,,,,
Case Counts by County,Douglas County,Cases,67,,,,,
Case Counts by County,Douglas County,Rate Per 100000,19.5425298,,,,,
Case Counts by County,Eagle County,Cases,147,,,,,
Case Counts by County,Eagle County,Rate Per 100000,267.9401418,,,,,
Case Counts by County,El Paso County,Cases,137,,,,,
Case Counts by County,El Paso County,Rate Per 100000,19.17706591,,,,,
Case Counts by County,Elbert County,Cases,3,,,,,
Case Counts by County,Elbert County,Rate Per 100000,NA,,,,,
Case Counts by County,Fremont County,Cases,1,,,,,
Case Counts by County,Fremont County,Rate Per 100000,NA,,,,,
Case Counts by County,Garfield County,Cases,16,,,,,
Case Counts by County,Garfield County,Rate Per 100000,26.75272125,,,,,
Case Counts by County,Gilpin County,Cases,0,,,,,
Case Counts by County,Gilpin County,Rate Per 100000,NA,,,,,
Case Counts by County,Grand County,Cases,2,,,,,
Case Counts by County,Grand County,Rate Per 100000,NA,,,,,
Case Counts by County,Grand Total County,Cases,1430,,,,,
Case Counts by County,Grand Total County,Rate Per 100000,NA,,,,,
Case Counts by County,Gunnison County,Cases,57,,,,,
Case Counts by County,Gunnison County,Rate Per 100000,331.9163804,,,,,
Case Counts by County,Hinsdale County,Cases,1,,,,,
Case Counts by County,Hinsdale County,Rate Per 100000,NA,,,,,
Case Counts by County,Huerfano County,Cases,1,,,,,
Case Counts by County,Huerfano County,Rate Per 100000,NA,,,,,
Case Counts by County,Jackson County,Cases,0,,,,,
Case Counts by County,Jackson County,Rate Per 100000,NA,,,,,
Case Counts by County,Jefferson County,Cases,131,,,,,
Case Counts by County,Jefferson County,Rate Per 100000,22.60604565,,,,,
Case Counts by County,Kiowa County,Cases,0,,,,,
Case Counts by County,Kiowa County,Rate Per 100000,NA,,,,,
Case Counts by County,Kit Carson County,Cases,1,,,,,
Case Counts by County,Kit Carson County,Rate Per 100000,NA,,,,,
Case Counts by County,La Plata County,Cases,5,,,,,
Case Counts by County,La Plata County,Rate Per 100000,8.864776696,,,,,
Case Counts by County,Lake County,Cases,0,,,,,
Case Counts by County,Lake County,Rate Per 100000,NA,,,,,
Case Counts by County,Larimer County,Cases,61,,,,,
Case Counts by County,Larimer County,Rate Per 100000,17.41056393,,,,,
Case Counts by County,Las Animas County,Cases,0,,,,,
Case Counts by County,Las Animas County,Rate Per 100000,NA,,,,,
Case Counts by County,Lincoln County,Cases,0,,,,,
Case Counts by County,Lincoln County,Rate Per 100000,NA,,,,,
Case Counts by County,Logan County,Cases,2,,,,,
Case Counts by County,Logan County,Rate Per 100000,NA,,,,,
Case Counts by County,Mesa County,Cases,6,,,,,
Case Counts by County,Mesa County,Rate Per 100000,3.90548721,,,,,
Case Counts by County,Mineral County,Cases,0,,,,,
Case Counts by County,Mineral County,Rate Per 100000,NA,,,,,
Case Counts by County,Moffat County,Cases,0,,,,,
Case Counts by County,Moffat County,Rate Per 100000,NA,,,,,
Case Counts by County,Montezuma County,Cases,0,,,,,
Case Counts by County,Montezuma County,Rate Per 100000,NA,,,,,
Case Counts by County,Montrose County,Cases,4,,,,,
Case Counts by County,Montrose County,Rate Per 100000,NA,,,,,
Case Counts by County,Morgan County,Cases,3,,,,,
Case Counts by County,Morgan County,Rate Per 100000,NA,,,,,
Case Counts by County,Otero County,Cases,1,,,,,
Case Counts by County,Otero County,Rate Per 100000,NA,,,,,
Case Counts by County,Ouray County,Cases,0,,,,,
Case Counts by County,Ouray County,Rate Per 100000,NA,,,,,
Case Counts by County,Park County,Cases,1,,,,,
Case Counts by County,Park County,Rate Per 100000,NA,,,,,
Case Counts by County,Phillips County,Cases,0,,,,,
Case Counts by County,Phillips County,Rate Per 100000,NA,,,,,
Case Counts by County,Pitkin County,Cases,23,,,,,
Case Counts by County,Pitkin County,Rate Per 100000,128.6425415,,,,,
Case Counts by County,Prowers County,Cases,0,,,,,
Case Counts by County,Prowers County,Rate Per 100000,NA,,,,,
Case Counts by County,Pueblo County,Cases,3,,,,,
Case Counts by County,Pueblo County,Rate Per 100000,NA,,,,,
Case Counts by County,Rio Blanco County,Cases,0,,,,,
Case Counts by County,Rio Blanco County,Rate Per 100000,NA,,,,,
Case Counts by County,Rio Grande County,Cases,2,,,,,
Case Counts by County,Rio Grande County,Rate Per 100000,NA,,,,,
Case Counts by County,Routt County,Cases,9,,,,,
Case Counts by County,Routt County,Rate Per 100000,35.04263521,,,,,
Case Counts by County,Saguache County,Cases,0,,,,,
Case Counts by County,Saguache County,Rate Per 100000,NA,,,,,
Case Counts by County,San Juan County,Cases,0,,,,,
Case Counts by County,San Juan County,Rate Per 100000,NA,,,,,
Case Counts by County,San Miguel County,Cases,1,,,,,
Case Counts by County,San Miguel County,Rate Per 100000,NA,,,,,
Case Counts by County,Sedgwick County,Cases,0,,,,,
Case Counts by County,Sedgwick County,Rate Per 100000,NA,,,,,
Case Counts by County,Summit County,Cases,9,,,,,
Case Counts by County,Summit County,Rate Per 100000,29.05756627,,,,,
Case Counts by County,Teller County,Cases,7,,,,,
Case Counts by County,Teller County,Rate Per 100000,27.93296089,,,,,
Case Counts by County,Unknown Or Pending County,Cases,102,,,,,
Case Counts by County,Unknown Or Pending County,Rate Per 100000,NA,,,,,
Case Counts by County,Washington County,Cases,1,,,,,
Case Counts by County,Washington County,Rate Per 100000,NA,,,,,
Case Counts by County,Weld County,Cases,107,,,,,
Case Counts by County,Weld County,Rate Per 100000,34.04921544,,,,,
Case Counts by County,Yuma County,Cases,2,,,,,
Case Counts by County,Yuma County,Rate Per 100000,NA,,,,,
Case Counts by County,Note,Cases include people who had a positive lab test positive and cases that public health identified and determined were likely to have COVID-19 because of their symptoms and close contact with someone who tested positive. The number of untested cases included in the total case count is a very small portion of the total cases reported.,NA,,,,,
Case Counts by County,Note,People who tested positive for COVID-19 in Colorado while visiting are included in the county where they were identified.,NA,,,,,
Case Counts by County,Note,"County rates per 100,000 are calculated using 2018 population estimates from the Demography Section, Colorado Division of Local Government.",NA,,,,,
Case Counts by County,Note,Rates are not shown for counties with fewer than 5 cases.,NA,,,,,
Case Counts by County,Note,Caution should be used when interpreting rates in counties with small populations.,NA,,,,,
Case Counts by County,Note,Some cases may still be under investigation and county not assigned yet.,NA,,,,,
Case Counts by Age Group,0-9,Cases,19,,,,,
Case Counts by Age Group,0-9,Percent,1.33,,,,,
Case Counts by Age Group,10-19,Cases,38,,,,,
Case Counts by Age Group,10-19,Percent,2.66,,,,,
Case Counts by Age Group,20-29,Cases,202,,,,,
Case Counts by Age Group,20-29,Percent,14.13,,,,,
Case Counts by Age Group,30-39,Cases,247,,,,,
Case Counts by Age Group,30-39,Percent,17.27,,,,,
Case Counts by Age Group,40-49,Cases,247,,,,,
Case Counts by Age Group,40-49,Percent,17.27,,,,,
Case Counts by Age Group,50-59,Cases,245,,,,,
Case Counts by Age Group,50-59,Percent,17.13,,,,,
Case Counts by Age Group,60-69,Cases,201,,,,,
Case Counts by Age Group,60-69,Percent,14.06,,,,,
Case Counts by Age Group,70-79,Cases,145,,,,,
Case Counts by Age Group,70-79,Percent,10.14,,,,,
Case Counts by Age Group,80+,Cases,81,,,,,
Case Counts by Age Group,80+,Percent,5.66,,,,,
Case Counts by Age Group,Unknown,Cases,5,,,,,
Case Counts by Age Group,Unknown,Percent,0.35,,,,,
Case Counts by Sex,Female,Cases,715,,,,,
Case Counts by Sex,Female,Percent,50,,,,,
Case Counts by Sex,Male,Cases,702,,,,,
Case Counts by Sex,Male,Percent,49.09,,,,,
Case Counts by Sex,Unknown,Cases,13,,,,,
Case Counts by Sex,Unknown,Percent,0.91,,,,,
Case Counts by Onset Date,Note,Onset date data unavailable for this date ,NA,,,,,
Deaths,El Paso County,Cases,7,,,,,
Deaths,Weld County,Cases,4,,,,,
Deaths,Jefferson County,Cases,3,,,,,
Deaths,Denver County,Cases,3,,,,,
Deaths,Larimer County,Cases,1,,,,,
Deaths,Eagle County,Cases,1,,,,,
Deaths,Chaffee County,Cases,1,,,,,
Deaths,Crowley County,Cases,1,,,,,
Deaths,Gunnison County,Cases,1,,,,,
Deaths,Teller County,Cases,1,,,,,
Deaths,Arapahoe County,Cases,1,,,,,
"Case Counts by Age Group, Hospitalizations, and Deaths","0-9, Hospitalized",Cases,1,,,,,
"Case Counts by Age Group, Hospitalizations, and Deaths","0-9, Not Hospitalized",Cases,18,,,,,
"Case Counts by Age Group, Hospitalizations, and Deaths","10-19, Not Hospitalized",Cases,38,,,,,
"Case Counts by Age Group, Hospitalizations, and Deaths","20-29, Hospitalized",Cases,4,,,,,
"Case Counts by Age Group, Hospitalizations, and Deaths","20-29, Not Hospitalized",Cases,198,,,,,
"Case Counts by Age Group, Hospitalizations, and Deaths","30-39, Hospitalized",Cases,17,,,,,
"Case Counts by Age Group, Hospitalizations, and Deaths","30-39, Not Hospitalized",Cases,230,,,,,
"Case Counts by Age Group, Hospitalizations, and Deaths","40-49, Deaths",Cases,1,,,,,
"Case Counts by Age Group, Hospitalizations, and Deaths","40-49, Hospitalized",Cases,25,,,,,
"Case Counts by Age Group, Hospitalizations, and Deaths","40-49, Not Hospitalized",Cases,221,,,,,
"Case Counts by Age Group, Hospitalizations, and Deaths","50-59, Deaths",Cases,2,,,,,
"Case Counts by Age Group, Hospitalizations, and Deaths","50-59, Hospitalized",Cases,40,,,,,
"Case Counts by Age Group, Hospitalizations, and Deaths","50-59, Not Hospitalized",Cases,203,,,,,
"Case Counts by Age Group, Hospitalizations, and Deaths","60-69, Deaths",Cases,3,,,,,
"Case Counts by Age Group, Hospitalizations, and Deaths","60-69, Hospitalized",Cases,34,,,,,
"Case Counts by Age Group, Hospitalizations, and Deaths","60-69, Not Hospitalized",Cases,164,,,,,
"Case Counts by Age Group, Hospitalizations, and Deaths","70-79, Deaths",Cases,7,,,,,
"Case Counts by Age Group, Hospitalizations, and Deaths","70-79, Hospitalized",Cases,29,,,,,
"Case Counts by Age Group, Hospitalizations, and Deaths","70-79, Not Hospitalized",Cases,109,,,,,
"Case Counts by Age Group, Hospitalizations, and Deaths","80+, Deaths",Cases,11,,,,,
"Case Counts by Age Group, Hospitalizations, and Deaths","80+, Hospitalized",Cases,19,,,,,
"Case Counts by Age Group, Hospitalizations, and Deaths","80+, Not Hospitalized",Cases,51,,,,,
"Case Counts by Age Group, Hospitalizations, and Deaths","Unknown, Not Hospitalized",Cases,5,,,,,
"Case Counts by Age Group, Hospitalizations, and Deaths",Note,Data on cases recovered is unavailable.,NA,,,,,
"Case Counts by Age Group, Hospitalizations, and Deaths",Note,Patients who were hospitalized and subsequently died are only counted once as a death.,NA,,,,,
