OBJECTID,Desc_,Date,Metric,Value,Rep_Date,Name,Pop
44,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/07/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,0,02/02/2021,Colorado,5763976
45,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/07/2020,7-Day Average Percent Positivity,0.077,02/02/2021,Colorado,5763976
46,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/07/2020,3-Day Average Percent Positivity,0.097,02/02/2021,Colorado,5763976
47,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/08/2020,Percent Positivity,0,02/02/2021,Colorado,5763976
48,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/08/2020,People Tested at CDPHE State Lab,27,02/02/2021,Colorado,5763976
49,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/08/2020,People Tested at Non-CDPHE (Commerical) Labs,0,02/02/2021,Colorado,5763976
50,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/08/2020,Cumulative People Tested at CDPHE State Lab,124,02/02/2021,Colorado,5763976
51,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/08/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,0,02/02/2021,Colorado,5763976
52,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/08/2020,7-Day Average Percent Positivity,0.06,02/02/2021,Colorado,5763976
53,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/08/2020,3-Day Average Percent Positivity,0.071,02/02/2021,Colorado,5763976
54,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/09/2020,Percent Positivity,0,02/02/2021,Colorado,5763976
55,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/09/2020,People Tested at CDPHE State Lab,15,02/02/2021,Colorado,5763976
56,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/09/2020,People Tested at Non-CDPHE (Commerical) Labs,1,02/02/2021,Colorado,5763976
57,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/09/2020,Cumulative People Tested at CDPHE State Lab,139,02/02/2021,Colorado,5763976
58,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/09/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,1,02/02/2021,Colorado,5763976
59,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/09/2020,7-Day Average Percent Positivity,0.053,02/02/2021,Colorado,5763976
60,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/09/2020,3-Day Average Percent Positivity,0.049,02/02/2021,Colorado,5763976
61,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/10/2020,Percent Positivity,0.042,02/02/2021,Colorado,5763976
62,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/10/2020,People Tested at CDPHE State Lab,68,02/02/2021,Colorado,5763976
63,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/10/2020,People Tested at Non-CDPHE (Commerical) Labs,4,02/02/2021,Colorado,5763976
64,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/10/2020,Cumulative People Tested at CDPHE State Lab,207,02/02/2021,Colorado,5763976
65,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/10/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,5,02/02/2021,Colorado,5763976
66,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/10/2020,7-Day Average Percent Positivity,0.05,02/02/2021,Colorado,5763976
67,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/10/2020,3-Day Average Percent Positivity,0.026,02/02/2021,Colorado,5763976
68,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/11/2020,Percent Positivity,0.082,02/02/2021,Colorado,5763976
69,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/11/2020,People Tested at CDPHE State Lab,126,02/02/2021,Colorado,5763976
70,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/11/2020,People Tested at Non-CDPHE (Commerical) Labs,8,02/02/2021,Colorado,5763976
71,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/11/2020,Cumulative People Tested at CDPHE State Lab,333,02/02/2021,Colorado,5763976
72,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/11/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,13,02/02/2021,Colorado,5763976
73,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/11/2020,7-Day Average Percent Positivity,0.065,02/02/2021,Colorado,5763976
74,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/11/2020,3-Day Average Percent Positivity,0.063,02/02/2021,Colorado,5763976
75,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/12/2020,Percent Positivity,0.112,02/02/2021,Colorado,5763976
76,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/12/2020,People Tested at CDPHE State Lab,138,02/02/2021,Colorado,5763976
77,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/12/2020,People Tested at Non-CDPHE (Commerical) Labs,14,02/02/2021,Colorado,5763976
78,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/12/2020,Cumulative People Tested at CDPHE State Lab,471,02/02/2021,Colorado,5763976
79,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/12/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,27,02/02/2021,Colorado,5763976
80,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/12/2020,7-Day Average Percent Positivity,0.08,02/02/2021,Colorado,5763976
81,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/12/2020,3-Day Average Percent Positivity,0.087,02/02/2021,Colorado,5763976
82,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/13/2020,Percent Positivity,0.108,02/02/2021,Colorado,5763976
83,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/13/2020,People Tested at CDPHE State Lab,155,02/02/2021,Colorado,5763976
84,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/13/2020,People Tested at Non-CDPHE (Commerical) Labs,48,02/02/2021,Colorado,5763976
85,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/13/2020,Cumulative People Tested at CDPHE State Lab,626,02/02/2021,Colorado,5763976
86,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/13/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,75,02/02/2021,Colorado,5763976
87,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/13/2020,7-Day Average Percent Positivity,0.089,02/02/2021,Colorado,5763976
88,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/13/2020,3-Day Average Percent Positivity,0.102,02/02/2021,Colorado,5763976
89,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/14/2020,Percent Positivity,0.122,02/02/2021,Colorado,5763976
90,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/14/2020,People Tested at CDPHE State Lab,154,02/02/2021,Colorado,5763976
91,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/14/2020,People Tested at Non-CDPHE (Commerical) Labs,35,02/02/2021,Colorado,5763976
92,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/14/2020,Cumulative People Tested at CDPHE State Lab,780,02/02/2021,Colorado,5763976
93,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/14/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,110,02/02/2021,Colorado,5763976
94,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/14/2020,7-Day Average Percent Positivity,0.096,02/02/2021,Colorado,5763976
95,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/14/2020,3-Day Average Percent Positivity,0.114,02/02/2021,Colorado,5763976
96,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/15/2020,Percent Positivity,0.091,02/02/2021,Colorado,5763976
97,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/15/2020,People Tested at CDPHE State Lab,260,02/02/2021,Colorado,5763976
98,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/15/2020,People Tested at Non-CDPHE (Commerical) Labs,46,02/02/2021,Colorado,5763976
99,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/15/2020,Cumulative People Tested at CDPHE State Lab,1040,02/02/2021,Colorado,5763976
100,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/15/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,156,02/02/2021,Colorado,5763976
101,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/15/2020,7-Day Average Percent Positivity,0.097,02/02/2021,Colorado,5763976
102,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/15/2020,3-Day Average Percent Positivity,0.105,02/02/2021,Colorado,5763976
103,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/16/2020,Percent Positivity,0.091,02/02/2021,Colorado,5763976
104,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/16/2020,People Tested at CDPHE State Lab,361,02/02/2021,Colorado,5763976
105,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/16/2020,People Tested at Non-CDPHE (Commerical) Labs,134,02/02/2021,Colorado,5763976
106,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/16/2020,Cumulative People Tested at CDPHE State Lab,1401,02/02/2021,Colorado,5763976
107,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/16/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,290,02/02/2021,Colorado,5763976
108,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/16/2020,7-Day Average Percent Positivity,0.096,02/02/2021,Colorado,5763976
109,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/16/2020,3-Day Average Percent Positivity,0.097,02/02/2021,Colorado,5763976
110,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/17/2020,Percent Positivity,0.082,02/02/2021,Colorado,5763976
111,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/17/2020,People Tested at CDPHE State Lab,654,02/02/2021,Colorado,5763976
112,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/17/2020,People Tested at Non-CDPHE (Commerical) Labs,124,02/02/2021,Colorado,5763976
113,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/17/2020,Cumulative People Tested at CDPHE State Lab,2055,02/02/2021,Colorado,5763976
114,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/17/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,414,02/02/2021,Colorado,5763976
115,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/17/2020,7-Day Average Percent Positivity,0.093,02/02/2021,Colorado,5763976
116,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/17/2020,3-Day Average Percent Positivity,0.087,02/02/2021,Colorado,5763976
117,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/18/2020,Percent Positivity,0.12,02/02/2021,Colorado,5763976
118,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/18/2020,People Tested at CDPHE State Lab,358,02/02/2021,Colorado,5763976
119,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/18/2020,People Tested at Non-CDPHE (Commerical) Labs,223,02/02/2021,Colorado,5763976
120,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/18/2020,Cumulative People Tested at CDPHE State Lab,2413,02/02/2021,Colorado,5763976
121,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/18/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,637,02/02/2021,Colorado,5763976
122,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/18/2020,7-Day Average Percent Positivity,0.1,02/02/2021,Colorado,5763976
123,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/18/2020,3-Day Average Percent Positivity,0.097,02/02/2021,Colorado,5763976
124,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/19/2020,Percent Positivity,0.11,02/02/2021,Colorado,5763976
125,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/19/2020,People Tested at CDPHE State Lab,565,02/02/2021,Colorado,5763976
126,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/19/2020,People Tested at Non-CDPHE (Commerical) Labs,311,02/02/2021,Colorado,5763976
127,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/19/2020,Cumulative People Tested at CDPHE State Lab,2978,02/02/2021,Colorado,5763976
128,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/19/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,948,02/02/2021,Colorado,5763976
129,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/19/2020,7-Day Average Percent Positivity,0.102,02/02/2021,Colorado,5763976
130,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/19/2020,3-Day Average Percent Positivity,0.103,02/02/2021,Colorado,5763976
131,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/20/2020,Percent Positivity,0.138,02/02/2021,Colorado,5763976
132,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/20/2020,People Tested at CDPHE State Lab,458,02/02/2021,Colorado,5763976
133,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/20/2020,People Tested at Non-CDPHE (Commerical) Labs,413,02/02/2021,Colorado,5763976
134,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/20/2020,Cumulative People Tested at CDPHE State Lab,3436,02/02/2021,Colorado,5763976
135,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/20/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,1361,02/02/2021,Colorado,5763976
136,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/20/2020,7-Day Average Percent Positivity,0.109,02/02/2021,Colorado,5763976
137,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/20/2020,3-Day Average Percent Positivity,0.123,02/02/2021,Colorado,5763976
138,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/21/2020,Percent Positivity,0.091,02/02/2021,Colorado,5763976
139,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/21/2020,People Tested at CDPHE State Lab,944,02/02/2021,Colorado,5763976
140,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/21/2020,People Tested at Non-CDPHE (Commerical) Labs,534,02/02/2021,Colorado,5763976
141,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/21/2020,Cumulative People Tested at CDPHE State Lab,4380,02/02/2021,Colorado,5763976
142,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/21/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,1895,02/02/2021,Colorado,5763976
143,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/21/2020,7-Day Average Percent Positivity,0.104,02/02/2021,Colorado,5763976
144,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/21/2020,3-Day Average Percent Positivity,0.109,02/02/2021,Colorado,5763976
145,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/22/2020,Percent Positivity,0.173,02/02/2021,Colorado,5763976
146,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/22/2020,People Tested at CDPHE State Lab,393,02/02/2021,Colorado,5763976
147,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/22/2020,People Tested at Non-CDPHE (Commerical) Labs,552,02/02/2021,Colorado,5763976
148,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/22/2020,Cumulative People Tested at CDPHE State Lab,4773,02/02/2021,Colorado,5763976
149,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/22/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,2447,02/02/2021,Colorado,5763976
150,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/22/2020,7-Day Average Percent Positivity,0.115,02/02/2021,Colorado,5763976
151,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/22/2020,3-Day Average Percent Positivity,0.127,02/02/2021,Colorado,5763976
152,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/23/2020,Percent Positivity,0.106,02/02/2021,Colorado,5763976
153,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/23/2020,People Tested at CDPHE State Lab,1030,02/02/2021,Colorado,5763976
154,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/23/2020,People Tested at Non-CDPHE (Commerical) Labs,445,02/02/2021,Colorado,5763976
155,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/23/2020,Cumulative People Tested at CDPHE State Lab,5803,02/02/2021,Colorado,5763976
156,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/23/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,2892,02/02/2021,Colorado,5763976
157,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/23/2020,7-Day Average Percent Positivity,0.115,02/02/2021,Colorado,5763976
158,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/23/2020,3-Day Average Percent Positivity,0.117,02/02/2021,Colorado,5763976
159,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/24/2020,Percent Positivity,0.186,02/02/2021,Colorado,5763976
160,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/24/2020,People Tested at CDPHE State Lab,681,02/02/2021,Colorado,5763976
161,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/24/2020,People Tested at Non-CDPHE (Commerical) Labs,506,02/02/2021,Colorado,5763976
162,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/24/2020,Cumulative People Tested at CDPHE State Lab,6484,02/02/2021,Colorado,5763976
163,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/24/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,3398,02/02/2021,Colorado,5763976
164,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/24/2020,7-Day Average Percent Positivity,0.13,02/02/2021,Colorado,5763976
165,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/24/2020,3-Day Average Percent Positivity,0.15,02/02/2021,Colorado,5763976
166,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/25/2020,Percent Positivity,0.16,02/02/2021,Colorado,5763976
167,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/25/2020,People Tested at CDPHE State Lab,389,02/02/2021,Colorado,5763976
168,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/25/2020,People Tested at Non-CDPHE (Commerical) Labs,1506,02/02/2021,Colorado,5763976
169,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/25/2020,Cumulative People Tested at CDPHE State Lab,6873,02/02/2021,Colorado,5763976
170,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/25/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,4904,02/02/2021,Colorado,5763976
171,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/25/2020,7-Day Average Percent Positivity,0.137,02/02/2021,Colorado,5763976
172,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/25/2020,3-Day Average Percent Positivity,0.149,02/02/2021,Colorado,5763976
173,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/26/2020,Percent Positivity,0.177,02/02/2021,Colorado,5763976
174,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/26/2020,People Tested at CDPHE State Lab,555,02/02/2021,Colorado,5763976
175,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/26/2020,People Tested at Non-CDPHE (Commerical) Labs,1176,02/02/2021,Colorado,5763976
176,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/26/2020,Cumulative People Tested at CDPHE State Lab,7428,02/02/2021,Colorado,5763976
177,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/26/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,6080,02/02/2021,Colorado,5763976
178,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/26/2020,7-Day Average Percent Positivity,0.147,02/02/2021,Colorado,5763976
179,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/26/2020,3-Day Average Percent Positivity,0.173,02/02/2021,Colorado,5763976
180,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/27/2020,Percent Positivity,0.175,02/02/2021,Colorado,5763976
181,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/27/2020,People Tested at CDPHE State Lab,663,02/02/2021,Colorado,5763976
182,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/27/2020,People Tested at Non-CDPHE (Commerical) Labs,1209,02/02/2021,Colorado,5763976
183,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/27/2020,Cumulative People Tested at CDPHE State Lab,8091,02/02/2021,Colorado,5763976
184,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/27/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,7289,02/02/2021,Colorado,5763976
185,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/27/2020,7-Day Average Percent Positivity,0.152,02/02/2021,Colorado,5763976
186,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/27/2020,3-Day Average Percent Positivity,0.17,02/02/2021,Colorado,5763976
187,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/28/2020,Percent Positivity,0.184,02/02/2021,Colorado,5763976
188,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/28/2020,People Tested at CDPHE State Lab,261,02/02/2021,Colorado,5763976
189,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/28/2020,People Tested at Non-CDPHE (Commerical) Labs,1089,02/02/2021,Colorado,5763976
190,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/28/2020,Cumulative People Tested at CDPHE State Lab,8352,02/02/2021,Colorado,5763976
191,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/28/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,8378,02/02/2021,Colorado,5763976
192,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/28/2020,7-Day Average Percent Positivity,0.165,02/02/2021,Colorado,5763976
