Reference,Placement,Season,Station,Species,DateTime
278,Random,D,10,Impala,26/09/2013 12:22
279,Random,D,39,Baboon,26/09/2013 12:34
280,Random,D,34,Elephant,26/09/2013 12:52
281,Random,D,10,Elephant,26/09/2013 14:06
282,Random,D,48,Greater kudu,26/09/2013 14:09
283,Random,D,10,Slender mongoose,26/09/2013 14:16
284,Random,D,10,Baboon,26/09/2013 14:34
285,Random,D,14,Impala,26/09/2013 14:35
286,Random,D,10,Impala,26/09/2013 14:42
287,Random,D,10,Giraffe,26/09/2013 14:47
288,Random,D,H,Giraffe,26/09/2013 15:54
289,Random,D,36,Impala,26/09/2013 16:50
290,Random,D,3,Bush duiker,26/09/2013 18:10
291,Random,D,20,Greater kudu,26/09/2013 18:18
292,Random,D,39,Giraffe,26/09/2013 18:41
293,Random,D,17,Impala,26/09/2013 18:53
294,Random,D,34,Zebra,26/09/2013 19:12
295,Random,D,39,Elephant,26/09/2013 19:14
296,Random,D,10,Elephant,26/09/2013 19:33
297,Random,D,11,Zebra,26/09/2013 19:38
298,Random,D,20,Aardvark,26/09/2013 21:51
299,Random,D,G,Common genet,26/09/2013 23:00
300,Random,D,40,Elephant,26/09/2013 23:44
301,Random,D,9,Lion,27/09/2013 00:23
302,Random,D,G,Hippo,27/09/2013 01:12
303,Random,D,40,African civet,27/09/2013 01:31
304,Random,D,40,Elephant,27/09/2013 02:04
305,Random,D,9,Impala,27/09/2013 02:53
306,Random,D,22,Bat-eared fox,27/09/2013 04:06
307,Random,D,33,Elephant,27/09/2013 05:07
308,Random,D,11,Bat-eared fox,27/09/2013 05:40
309,Random,D,B,Spotted hyena,27/09/2013 06:41
310,Random,D,39,Greater kudu,27/09/2013 07:02
311,Random,D,D,Warthog,27/09/2013 07:10
312,Random,D,37,Giraffe,27/09/2013 07:15
313,Random,D,40,Spotted hyena,27/09/2013 07:16
314,Random,D,11,Baboon,27/09/2013 07:18
315,Random,D,20,Impala,27/09/2013 07:28
316,Random,D,11,Impala,27/09/2013 08:11
317,Random,D,40,Greater kudu,27/09/2013 08:15
318,Random,D,49,Impala,27/09/2013 08:29
319,Random,D,22,Greater kudu,27/09/2013 08:48
320,Random,D,10,Buffalo,27/09/2013 09:01
321,Random,D,28,Greater kudu,27/09/2013 09:37
322,Random,D,10,Impala,27/09/2013 10:27
323,Random,D,46,Baboon,27/09/2013 10:37
324,Random,D,47,Impala,27/09/2013 11:40
325,Random,D,21,Giraffe,27/09/2013 12:59
326,Random,D,10,Elephant,27/09/2013 14:04
327,Random,D,10,Black backed jackal,27/09/2013 14:37
328,Random,D,8,Impala,27/09/2013 15:21
329,Random,D,10,Giraffe,27/09/2013 15:21
330,Random,D,33,Impala,27/09/2013 16:01
331,Random,D,48,Impala,27/09/2013 16:30
332,Random,D,1,Giraffe,27/09/2013 16:41
333,Random,D,H,Elephant,27/09/2013 17:02
334,Random,D,10,Elephant,27/09/2013 17:22
335,Random,D,9,Impala,27/09/2013 17:52
336,Random,D,10,Impala,27/09/2013 18:42
337,Random,D,28,Black backed jackal,27/09/2013 18:44
338,Random,D,47,Zebra,27/09/2013 18:48
339,Random,D,40,Spotted hyena,27/09/2013 19:57
340,Random,D,55,Impala,27/09/2013 20:24
341,Random,D,B,Spotted hyena,27/09/2013 22:13
342,Random,D,10,Impala,28/09/2013 00:08
343,Random,D,45,Giraffe,28/09/2013 00:57
344,Random,D,9,Impala,28/09/2013 01:23
345,Random,D,11,Bat-eared fox,28/09/2013 01:37
346,Random,D,45,Giraffe,28/09/2013 02:20
347,Random,D,47,Waterbuck,28/09/2013 02:57
348,Random,D,39,Bush duiker,28/09/2013 03:36
349,Random,D,9,Impala,28/09/2013 05:00
350,Random,D,B,Black backed jackal,28/09/2013 05:18
351,Random,D,47,Waterbuck,28/09/2013 06:12
352,Random,D,D,Elephant,28/09/2013 06:34
353,Random,D,19,Greater kudu,28/09/2013 06:50
354,Random,D,11,Elephant,28/09/2013 07:49
355,Random,D,28,Dikdik,28/09/2013 08:05
356,Random,D,10,Impala,28/09/2013 08:15
357,Random,D,49,Impala,28/09/2013 08:35
358,Random,D,40,Impala,28/09/2013 08:58
359,Random,D,10,Impala,28/09/2013 08:58
360,Random,D,40,Impala,28/09/2013 08:59
361,Random,D,8,Elephant,28/09/2013 09:17
362,Random,D,22,Impala,28/09/2013 09:27
363,Random,D,26,Slender mongoose,28/09/2013 09:30
364,Random,D,D,Elephant,28/09/2013 10:29
365,Random,D,48,Impala,28/09/2013 11:18
366,Random,D,10,Impala,28/09/2013 11:32
367,Random,D,22,Impala,28/09/2013 12:02
368,Random,D,48,Giraffe,28/09/2013 12:05
369,Random,D,10,Impala,28/09/2013 12:26
370,Random,D,22,Impala,28/09/2013 12:29
371,Random,D,22,Greater kudu,28/09/2013 14:22
372,Random,D,10,Elephant,28/09/2013 14:31
373,Random,D,10,Impala,28/09/2013 14:31
374,Random,D,10,Baboon,28/09/2013 14:33
375,Random,D,40,Elephant,28/09/2013 16:44
376,Random,D,B,Baboon,28/09/2013 17:32
377,Random,D,34,Impala,28/09/2013 18:04
378,Random,D,3,Greater kudu,28/09/2013 18:09
379,Random,D,11,Impala,28/09/2013 18:09
380,Random,D,34,Impala,28/09/2013 18:09
381,Random,D,11,Impala,28/09/2013 18:09
382,Random,D,34,Impala,28/09/2013 18:09
383,Random,D,11,Impala,28/09/2013 18:09
384,Random,D,34,Impala,28/09/2013 18:09
385,Random,D,11,Impala,28/09/2013 18:09
386,Random,D,34,Impala,28/09/2013 18:09
387,Random,D,11,Impala,28/09/2013 18:09
388,Random,D,34,Impala,28/09/2013 18:09
389,Random,D,11,Impala,28/09/2013 18:09
390,Random,D,34,Impala,28/09/2013 18:09
391,Random,D,11,Impala,28/09/2013 18:09
392,Random,D,34,Impala,28/09/2013 18:09
393,Random,D,11,Impala,28/09/2013 18:10
394,Random,D,44,Zebra,28/09/2013 21:34
395,Random,D,17,Impala,28/09/2013 22:19
396,Random,D,39,Aardvark,28/09/2013 22:29
397,Random,D,B,Elephant,28/09/2013 22:37
398,Random,D,47,Impala,28/09/2013 22:44
399,Random,D,47,Impala,28/09/2013 23:57
400,Random,D,B,White tailed mongoose,29/09/2013 00:35
401,Random,D,22,White tailed mongoose,29/09/2013 00:36
402,Random,D,47,Impala,29/09/2013 02:34
403,Random,D,22,Bat-eared fox,29/09/2013 03:28
404,Random,D,24,Dikdik,29/09/2013 03:58
405,Random,D,9,Impala,29/09/2013 04:16
406,Random,D,47,Impala,29/09/2013 04:16
407,Random,D,39,Elephant,29/09/2013 04:39
408,Random,D,14,Spotted hyena,29/09/2013 05:55
409,Random,D,B,Elephant,29/09/2013 06:26
410,Random,D,16,Giraffe,29/09/2013 06:41
411,Random,D,10,Dikdik,29/09/2013 06:52
412,Random,D,C,Elephant,29/09/2013 07:08
413,Random,D,D,Impala,29/09/2013 07:24
414,Random,D,A,Greater kudu,29/09/2013 07:34
415,Random,D,10,Impala,29/09/2013 08:31
416,Random,D,10,Impala,29/09/2013 09:38
417,Random,D,12,Zebra,29/09/2013 09:51
418,Random,D,H,Impala,29/09/2013 11:13
419,Random,D,10,Impala,29/09/2013 11:13
420,Random,D,H,Greater kudu,29/09/2013 11:27
421,Random,D,H,Impala,29/09/2013 11:37
422,Random,D,12,Impala,29/09/2013 12:14
423,Random,D,39,Baboon,29/09/2013 16:00
424,Random,D,48,Impala,29/09/2013 16:16
425,Random,D,10,Giraffe,29/09/2013 16:44
426,Random,D,10,Elephant,29/09/2013 16:55
427,Random,D,40,Elephant,29/09/2013 17:23
428,Random,D,33,Impala,29/09/2013 17:50
429,Random,D,3,Bush duiker,29/09/2013 18:28
430,Random,D,14,Dikdik,29/09/2013 18:45
431,Random,D,21,Elephant,29/09/2013 18:46
432,Random,D,17,Greater kudu,29/09/2013 18:46
433,Random,D,45,Greater kudu,29/09/2013 18:49
434,Random,D,40,Elephant,29/09/2013 18:49
435,Random,D,55,Greater kudu,29/09/2013 19:19
436,Random,D,E,Impala,29/09/2013 19:21
437,Random,D,E,Bush duiker,29/09/2013 19:40
438,Random,D,41,Dikdik,29/09/2013 20:28
439,Random,D,39,Bush duiker,29/09/2013 22:49
440,Random,D,47,Impala,30/09/2013 00:32
441,Random,D,13,Black backed jackal,30/09/2013 00:47
442,Random,D,14,Giraffe,30/09/2013 01:23
443,Random,D,21,Elephant,30/09/2013 01:28
444,Random,D,9,Impala,30/09/2013 01:35
445,Random,D,22,African civet,30/09/2013 01:35
446,Random,D,47,Impala,30/09/2013 01:40
447,Random,D,B,White tailed mongoose,30/09/2013 01:59
448,Random,D,H,Aardwolf,30/09/2013 03:50
449,Random,D,40,Spotted hyena,30/09/2013 04:44
450,Random,D,9,Impala,30/09/2013 05:47
451,Random,D,47,Impala,30/09/2013 05:50
452,Random,D,40,Bush duiker,30/09/2013 06:16
453,Random,D,10,Impala,30/09/2013 06:49
454,Random,D,20,Greater kudu,30/09/2013 06:57
455,Random,D,9,Impala,30/09/2013 07:06
456,Random,D,10,Impala,30/09/2013 07:06
457,Random,D,9,Impala,30/09/2013 07:10
458,Random,D,10,Impala,30/09/2013 07:13
459,Random,D,9,Impala,30/09/2013 07:14
460,Random,D,10,Impala,30/09/2013 07:14
461,Random,D,9,Impala,30/09/2013 07:14
462,Random,D,10,Impala,30/09/2013 07:14
463,Random,D,9,Impala,30/09/2013 07:14
464,Random,D,10,Impala,30/09/2013 07:14
465,Random,D,9,Impala,30/09/2013 07:14
466,Random,D,10,Impala,30/09/2013 07:14
467,Random,D,9,Impala,30/09/2013 07:14
468,Random,D,10,Impala,30/09/2013 07:14
469,Random,D,9,Impala,30/09/2013 07:14
470,Random,D,10,Impala,30/09/2013 07:14
471,Random,D,9,Impala,30/09/2013 07:14
472,Random,D,10,Impala,30/09/2013 07:14
473,Random,D,9,Impala,30/09/2013 07:15
474,Random,D,10,Impala,30/09/2013 07:15
475,Random,D,9,Impala,30/09/2013 07:15
476,Random,D,10,Impala,30/09/2013 07:15
477,Random,D,49,Impala,30/09/2013 07:28
478,Random,D,41,Impala,30/09/2013 07:29
479,Random,D,49,Impala,30/09/2013 07:29
480,Random,D,41,Impala,30/09/2013 07:30
481,Random,D,49,Impala,30/09/2013 07:30
482,Random,D,H,Baboon,30/09/2013 08:51
483,Random,D,10,Impala,30/09/2013 09:07
484,Random,D,1,Elephant,30/09/2013 09:12
485,Random,D,22,Vervet monkey,30/09/2013 09:45
486,Random,D,39,Giraffe,30/09/2013 09:58
487,Random,D,10,Elephant,30/09/2013 10:15
488,Random,D,22,Greater kudu,30/09/2013 10:18
489,Random,D,10,Impala,30/09/2013 11:21
490,Random,D,B,Giraffe,30/09/2013 12:36
491,Random,D,22,Impala,30/09/2013 14:06
492,Random,D,10,Impala,30/09/2013 14:50
493,Random,D,48,Impala,30/09/2013 15:42
494,Random,D,10,Giraffe,30/09/2013 15:57
495,Random,D,33,Black backed jackal,30/09/2013 16:40
496,Random,D,37,Impala,30/09/2013 17:01
497,Random,D,C,Elephant,30/09/2013 18:32
498,Random,D,H,White tailed mongoose,1/10/13 0:22
499,Random,D,30,Common genet,1/10/13 3:26
500,Random,D,40,African civet,1/10/13 4:20
501,Random,D,12,White tailed mongoose,1/10/13 4:55
502,Random,D,27,Impala,1/10/13 5:59
503,Random,D,20,Elephant,1/10/13 6:08
504,Random,D,21,Impala,1/10/13 6:10
505,Random,D,20,Impala,1/10/13 6:25
506,Random,D,8,Elephant,1/10/13 6:48
507,Random,D,45,Impala,1/10/13 6:56
508,Random,D,F,Impala,1/10/13 8:14
509,Random,D,40,Baboon,1/10/13 9:08
510,Random,D,22,Impala,1/10/13 10:26
511,Random,D,14,Impala,1/10/13 12:47
512,Random,D,H,Impala,1/10/13 13:57
513,Random,D,49,Baboon,1/10/13 14:09
514,Random,D,40,Impala,1/10/13 14:33
515,Random,D,40,Greater kudu,1/10/13 16:01
516,Random,D,49,Impala,1/10/13 16:48
517,Random,D,28,Elephant,1/10/13 17:35
518,Random,D,47,Waterbuck,1/10/13 18:26
519,Random,D,47,Impala,1/10/13 18:29
520,Random,D,33,Zebra,1/10/13 18:32
521,Random,D,17,Greater kudu,1/10/13 18:44
522,Random,D,45,Greater kudu,1/10/13 18:50
523,Random,D,22,Lion,1/10/13 22:22
524,Random,D,26,Aardwolf,1/10/13 23:16
525,Random,D,C,Lesser kudu,1/10/13 23:51
526,Random,D,3,Common genet,2/10/13 0:24
527,Random,D,47,Impala,2/10/13 3:16
528,Random,D,48,Bat-eared fox,2/10/13 3:55
529,Random,D,47,Impala,2/10/13 5:37
530,Random,D,20,Bush buck,2/10/13 5:46
531,Random,D,49,Impala,2/10/13 7:20
532,Random,D,48,Hippo,2/10/13 7:22
533,Random,D,11,Baboon,2/10/13 7:32
534,Random,D,A,Lesser kudu,2/10/13 9:33
535,Random,D,13,Giraffe,2/10/13 9:39
536,Random,D,28,Impala,2/10/13 9:46
537,Random,D,A,Impala,2/10/13 9:58
538,Random,D,12,Impala,2/10/13 10:20
539,Random,D,21,Greater kudu,2/10/13 11:40
540,Random,D,22,Impala,2/10/13 12:19
541,Random,D,24,Greater kudu,2/10/13 13:09
542,Random,D,22,Impala,2/10/13 13:28
543,Random,D,22,Zebra,2/10/13 13:28
544,Random,D,14,Impala,2/10/13 14:09
545,Random,D,37,Greater kudu,2/10/13 14:40
546,Random,D,22,Giraffe,2/10/13 15:02
547,Random,D,40,Greater kudu,2/10/13 15:07
548,Random,D,45,Impala,2/10/13 16:03
549,Random,D,44,Impala,2/10/13 16:55
550,Random,D,12,Elephant,2/10/13 17:25
551,Random,D,H,Black backed jackal,2/10/13 17:43
552,Random,D,8,Impala,2/10/13 17:48
553,Random,D,40,Elephant,2/10/13 18:28
554,Random,D,C,Lesser kudu,2/10/13 18:57
555,Random,D,11,Common genet,2/10/13 19:16
556,Random,D,28,Hippo,2/10/13 20:21
